eta, cCl
   0.000000,    2.264808
   0.020408,    2.243802
   0.040816,    2.236610
   0.061224,    2.226090
   0.081633,    2.212783
   0.102041,    2.197053
   0.122449,    2.179166
   0.142857,    2.159331
   0.163265,    2.137716
   0.183673,    2.114459
   0.204082,    2.089676
   0.224490,    2.063464
   0.244898,    2.035908
   0.265306,    2.007084
   0.285714,    1.976412
   0.306122,    1.944469
   0.326531,    1.913550
   0.346939,    1.880135
   0.367347,    1.845828
   0.387755,    1.810745
   0.408163,    1.774981
   0.428571,    1.738621
   0.448980,    1.701738
   0.469388,    1.664394
   0.489796,    1.626644
   0.510204,    1.588525
   0.530612,    1.550075
   0.551020,    1.511328
   0.571429,    1.472306
   0.591837,    1.433020
   0.612245,    1.393473
   0.632653,    1.353659
   0.653061,    1.313559
   0.673469,    1.273141
   0.693878,    1.232358
   0.714286,    1.191141
   0.734694,    1.149395
   0.755102,    1.106992
   0.775510,    1.063759
   0.795918,    1.019460
   0.816327,    0.973775
   0.836735,    0.926258
   0.857143,    0.876281
   0.877551,    0.822929
   0.897959,    0.764830
   0.918367,    0.699811
   0.938776,    0.624190
   0.959184,    0.530954
   0.979592,    0.403390
   1.000000,    0.000000
