eta, cCl
   0.000000,    1.520180
   0.020408,    1.506049
   0.040816,    1.501128
   0.061224,    1.493908
   0.081633,    1.484750
   0.102041,    1.473893
   0.122449,    1.461512
   0.142857,    1.447741
   0.163265,    1.432685
   0.183673,    1.416427
   0.204082,    1.399030
   0.224490,    1.380541
   0.244898,    1.360990
   0.265306,    1.340392
   0.285714,    1.318299
   0.306122,    1.294955
   0.326531,    1.271754
   0.346939,    1.246540
   0.367347,    1.220513
   0.387755,    1.193820
   0.408163,    1.166575
   0.428571,    1.138872
   0.448980,    1.110792
   0.469388,    1.082402
   0.489796,    1.053762
   0.510204,    1.024917
   0.530612,    0.995909
   0.551020,    0.966781
   0.571429,    0.937562
   0.591837,    0.908275
   0.612245,    0.878936
   0.632653,    0.849556
   0.653061,    0.820138
   0.673469,    0.790676
   0.693878,    0.761156
   0.714286,    0.731550
   0.734694,    0.701819
   0.755102,    0.671900
   0.775510,    0.641710
   0.795918,    0.611130
   0.816327,    0.579993
   0.836735,    0.548068
   0.857143,    0.515020
   0.877551,    0.480361
   0.897959,    0.443353
   0.918367,    0.402820
   0.938776,    0.356760
   0.959184,    0.301341
   0.979592,    0.227384
   1.000000,    0.000000
