eta, Cl
   0.000000,    0.136430
   0.020408,    0.136945
   0.040816,    0.137934
   0.061224,    0.138884
   0.081633,    0.139793
   0.102041,    0.140660
   0.122449,    0.141483
   0.142857,    0.142261
   0.163265,    0.142993
   0.183673,    0.143678
   0.204082,    0.144316
   0.224490,    0.144904
   0.244898,    0.145441
   0.265306,    0.145927
   0.285714,    0.146359
   0.306122,    0.146736
   0.326531,    0.147055
   0.346939,    0.147315
   0.367347,    0.147512
   0.387755,    0.147644
   0.408163,    0.147708
   0.428571,    0.147698
   0.448980,    0.147613
   0.469388,    0.147445
   0.489796,    0.147190
   0.510204,    0.146841
   0.530612,    0.146390
   0.551020,    0.145830
   0.571429,    0.145153
   0.591837,    0.144346
   0.612245,    0.143400
   0.632653,    0.142298
   0.653061,    0.141027
   0.673469,    0.139566
   0.693878,    0.137894
   0.714286,    0.135987
   0.734694,    0.133813
   0.755102,    0.131337
   0.775510,    0.128516
   0.795918,    0.125296
   0.816327,    0.121611
   0.836735,    0.117380
   0.857143,    0.112493
   0.877551,    0.106808
   0.897959,    0.100127
   0.918367,    0.092154
   0.938776,    0.082423
   0.959184,    0.070071
   0.979592,    0.053065
   1.000000,    0.000000
