eta, Cl
   0.000000,    0.100794
   0.020408,    0.101233
   0.040816,    0.102118
   0.061224,    0.103032
   0.081633,    0.103955
   0.102041,    0.104874
   0.122449,    0.105781
   0.142857,    0.106670
   0.163265,    0.107536
   0.183673,    0.108375
   0.204082,    0.109186
   0.224490,    0.109964
   0.244898,    0.110708
   0.265306,    0.111416
   0.285714,    0.112084
   0.306122,    0.112710
   0.326531,    0.113291
   0.346939,    0.113826
   0.367347,    0.114309
   0.387755,    0.114740
   0.408163,    0.115112
   0.428571,    0.115423
   0.448980,    0.115668
   0.469388,    0.115841
   0.489796,    0.115937
   0.510204,    0.115948
   0.530612,    0.115868
   0.551020,    0.115688
   0.571429,    0.115401
   0.591837,    0.114994
   0.612245,    0.114457
   0.632653,    0.113777
   0.653061,    0.112937
   0.673469,    0.111922
   0.693878,    0.110711
   0.714286,    0.109281
   0.734694,    0.107607
   0.755102,    0.105657
   0.775510,    0.103396
   0.795918,    0.100781
   0.816327,    0.097759
   0.836735,    0.094266
   0.857143,    0.090221
   0.877551,    0.085514
   0.897959,    0.079995
   0.918367,    0.073444
   0.938776,    0.065503
   0.959184,    0.055513
   0.979592,    0.041900
   1.000000,    0.000000
