alpha_b, z dist
  -4.000000,    3.291607
  -3.794872,    3.248506
  -3.589744,    3.205404
  -3.384615,    3.162302
  -3.179487,    3.119151
  -2.974359,    3.075973
  -2.769231,    3.032746
  -2.564103,    2.989495
  -2.358974,    2.946193
  -2.153846,    2.902870
  -1.948718,    2.859497
  -1.743590,    2.816105
  -1.538462,    2.772662
  -1.333333,    2.729204
  -1.128205,    2.685693
  -0.923077,    2.642170
  -0.717949,    2.598594
  -0.512821,    2.555008
  -0.307692,    2.511369
  -0.102564,    2.467722
   0.102564,    2.424024
   0.307692,    2.380318
   0.512821,    2.336561
   0.717949,    2.292799
   0.923077,    2.248985
   1.128205,    2.205169
   1.333333,    2.161302
   1.538462,    2.117433
   1.743590,    2.073515
   1.948718,    2.029595
   2.153846,    1.985629
   2.358974,    1.941660
   2.564103,    1.897648
   2.769231,    1.853631
   2.974359,    1.809576
   3.179487,    1.765515
   3.384615,    1.721418
   3.589744,    1.677315
   3.794872,    1.633179
   4.000000,    1.588984
