eta, Cm
   0.000000,    0.206752
   0.020408,    0.200785
   0.040816,    0.195877
   0.061224,    0.190588
   0.081633,    0.184871
   0.102041,    0.178686
   0.122449,    0.172002
   0.142857,    0.164789
   0.163265,    0.157018
   0.183673,    0.148661
   0.204082,    0.139690
   0.224490,    0.130074
   0.244898,    0.119785
   0.265306,    0.108788
   0.285714,    0.097053
   0.306122,    0.084544
   0.326531,    0.071224
   0.346939,    0.057055
   0.367347,    0.041997
   0.387755,    0.026008
   0.408163,    0.009043
   0.428571,   -0.008941
   0.448980,   -0.027994
   0.469388,   -0.048164
   0.489796,   -0.069501
   0.510204,   -0.092055
   0.530612,   -0.115876
   0.551020,   -0.141013
   0.571429,   -0.167512
   0.591837,   -0.195416
   0.612245,   -0.224757
   0.632653,   -0.255562
   0.653061,   -0.287839
   0.673469,   -0.321574
   0.693878,   -0.356726
   0.714286,   -0.393210
   0.734694,   -0.430884
   0.755102,   -0.469528
   0.775510,   -0.508810
   0.795918,   -0.548248
   0.816327,   -0.587148
   0.836735,   -0.624515
   0.857143,   -0.658920
   0.877551,   -0.688295
   0.897959,   -0.709583
   0.918367,   -0.718108
   0.938776,   -0.706285
   0.959184,   -0.660464
   0.979592,   -0.550225
   1.000000,    0.000000
