eta, Cm
   0.000000,    0.041350
   0.020408,    0.040157
   0.040816,    0.039175
   0.061224,    0.038118
   0.081633,    0.036974
   0.102041,    0.035737
   0.122449,    0.034400
   0.142857,    0.032958
   0.163265,    0.031404
   0.183673,    0.029732
   0.204082,    0.027938
   0.224490,    0.026015
   0.244898,    0.023957
   0.265306,    0.021758
   0.285714,    0.019411
   0.306122,    0.016909
   0.326531,    0.014245
   0.346939,    0.011411
   0.367347,    0.008399
   0.387755,    0.005202
   0.408163,    0.001809
   0.428571,   -0.001788
   0.448980,   -0.005599
   0.469388,   -0.009633
   0.489796,   -0.013900
   0.510204,   -0.018411
   0.530612,   -0.023175
   0.551020,   -0.028203
   0.571429,   -0.033502
   0.591837,   -0.039083
   0.612245,   -0.044951
   0.632653,   -0.051112
   0.653061,   -0.057568
   0.673469,   -0.064315
   0.693878,   -0.071345
   0.714286,   -0.078642
   0.734694,   -0.086177
   0.755102,   -0.093906
   0.775510,   -0.101762
   0.795918,   -0.109650
   0.816327,   -0.117430
   0.836735,   -0.124903
   0.857143,   -0.131784
   0.877551,   -0.137659
   0.897959,   -0.141917
   0.918367,   -0.143622
   0.938776,   -0.141257
   0.959184,   -0.132093
   0.979592,   -0.110045
   1.000000,    0.000000
