eta, Total_load
   0.000000, 4292.761263
   0.020408, 4275.907854
   0.040816, 4273.513849
   0.061224, 4269.434963
   0.081633, 4263.644050
   0.102041, 4256.128114
   0.122449, 4246.881733
   0.142857, 4235.903919
   0.163265, 4223.196117
   0.183673, 4208.760709
   0.204082, 4192.599815
   0.224490, 4174.714298
   0.244898, 4155.102901
   0.265306, 4133.761497
   0.285714, 4110.682407
   0.306122, 4085.853764
   0.326531, 4059.258901
   0.346939, 4030.875738
   0.367347, 4000.676139
   0.387755, 3968.625236
   0.408163, 3934.680671
   0.428571, 3898.791759
   0.448980, 3860.898526
   0.469388, 3820.930603
   0.489796, 3778.805933
   0.510204, 3734.404198
   0.530612, 3687.610027
   0.551020, 3638.318275
   0.571429, 3586.380292
   0.591837, 3531.624320
   0.612245, 3473.851641
   0.632653, 3412.831853
   0.653061, 3348.297007
   0.673469, 3279.934259
   0.693878, 3207.376555
   0.714286, 3130.190650
   0.734694, 3047.861473
   0.755102, 2959.771339
   0.775510, 2865.171726
   0.795918, 2763.143995
   0.816327, 2652.543082
   0.836735, 2531.913843
   0.857143, 2399.361249
   0.877551, 2252.337738
   0.897959, 2087.270020
   0.918367, 1898.841960
   0.938776, 1678.432148
   0.959184, 1410.000194
   0.979592, 1054.977763
   1.000000,    0.000000
