eta, Add. Load
   0.000000, 1975.754238
   0.020408, 1957.510804
   0.040816, 1951.484416
   0.061224, 1942.728028
   0.081633, 1931.722200
   0.102041, 1918.791640
   0.122449, 1904.181969
   0.142857, 1888.091301
   0.163265, 1870.687301
   0.183673, 1852.118172
   0.204082, 1832.521100
   0.224490, 1812.030408
   0.244898, 1790.787976
   0.265306, 1768.961639
   0.285714, 1746.200577
   0.306122, 1723.384615
   0.326531, 1702.904824
   0.346939, 1681.144575
   0.367347, 1659.175682
   0.387755, 1636.912969
   0.408163, 1614.310378
   0.428571, 1591.340078
   0.448980, 1567.983200
   0.469388, 1544.224968
   0.489796, 1520.051860
   0.510204, 1495.445999
   0.530612, 1470.390364
   0.551020, 1444.868969
   0.571429, 1418.858004
   0.591837, 1392.328086
   0.612245, 1365.242814
   0.632653, 1337.556994
   0.653061, 1309.214392
   0.673469, 1280.144811
   0.693878, 1250.260245
   0.714286, 1219.449707
   0.734694, 1187.572161
   0.755102, 1154.446709
   0.775510, 1119.838676
   0.795918, 1083.439453
   0.816327, 1044.836546
   0.836735, 1003.467712
   0.857143,  958.548159
   0.877551,  908.949677
   0.897959,  852.988113
   0.918367,  788.019686
   0.938776,  709.584477
   0.959184,  609.241925
   0.979592,  467.003420
   1.000000,    0.000000
