alpha, CM
  -6.000000,   -0.153392
  -5.517241,   -0.153395
  -5.034483,   -0.153398
  -4.551724,   -0.153402
  -4.068966,   -0.153405
  -3.586207,   -0.153408
  -3.103448,   -0.153412
  -2.620690,   -0.153415
  -2.137931,   -0.153418
  -1.655172,   -0.153422
  -1.172414,   -0.153425
  -0.689655,   -0.153428
  -0.206897,   -0.153432
   0.275862,   -0.146223
   0.758621,   -0.146414
   1.241379,   -0.146606
   1.724138,   -0.146797
   2.206897,   -0.146989
   2.689655,   -0.147180
   3.172414,   -0.147372
   3.655172,   -0.147564
   4.137931,   -0.147755
   4.620690,   -0.147947
   5.103448,   -0.148138
   5.586207,   -0.148330
   6.068966,   -0.148521
   6.551724,   -0.148713
   7.034483,   -0.148904
   7.517241,   -0.149096
   8.000000,   -0.149288
