alpha, CM
  -3.862750,   -0.006472
  -3.307608,   -0.006214
  -2.755662,   -0.005957
  -2.206604,   -0.005702
  -1.660339,   -0.005449
  -1.116773,   -0.005196
  -0.575814,   -0.004945
  -0.037367,   -0.004695
   0.498662,   -0.004446
   1.032365,   -0.004198
   1.563835,   -0.003951
   2.105066,   -0.003699
   2.661761,   -0.003441
   3.221506,   -0.003181
   3.784394,   -0.002919
   4.353502,   -0.002655
   4.950702,   -0.002378
   5.608450,   -0.002072
   6.356867,   -0.001724
   7.222768,   -0.001322
   8.216878,   -0.000860
   9.289229,   -0.000362
  10.180020,    0.000052
  11.046417,    0.000454
  11.913449,    0.000857
  12.781057,    0.001260
  13.649180,    0.001663
  14.517759,    0.002066
  15.386730,    0.002470
  16.256032,    0.002874
