alpha, CM
  -3.862750,   -0.001794
  -3.307608,   -0.001536
  -2.755662,   -0.001280
  -2.206604,   -0.001025
  -1.660339,   -0.000771
  -1.116773,   -0.000519
  -0.575814,   -0.000267
  -0.037367,   -0.000017
   0.498662,    0.000232
   1.032365,    0.000480
   1.563835,    0.000726
   2.105066,    0.000978
   2.661761,    0.001236
   3.221506,    0.001496
   3.784394,    0.001758
   4.353502,    0.002022
   4.950702,    0.002300
   5.608450,    0.002605
   6.356867,    0.002953
   7.222768,    0.003355
   8.216878,    0.003817
   9.289229,    0.004315
  10.180020,    0.004729
  11.046417,    0.005131
  11.913449,    0.005534
  12.781057,    0.005937
  13.649180,    0.006340
  14.517759,    0.006744
  15.386730,    0.007147
  16.256032,    0.007551
