alpha, CM
  -3.862750,    0.094043
  -3.307608,    0.094301
  -2.755662,    0.094557
  -2.206604,    0.094812
  -1.660339,    0.095066
  -1.116773,    0.095319
  -0.575814,    0.095570
  -0.037367,    0.095820
   0.498662,    0.096069
   1.032365,    0.096317
   1.563835,    0.096564
   2.105066,    0.096815
   2.661761,    0.097074
   3.221506,    0.097334
   3.784394,    0.097595
   4.353502,    0.097860
   4.950702,    0.098137
   5.608450,    0.098442
   6.356867,    0.098790
   7.222768,    0.099192
   8.216878,    0.099654
   9.289229,    0.100152
  10.180020,    0.100566
  11.046417,    0.100969
  11.913449,    0.101371
  12.781057,    0.101774
  13.649180,    0.102178
  14.517759,    0.102581
  15.386730,    0.102985
  16.256032,    0.103388
