alpha, CM
  -3.862750,    0.002883
  -3.307608,    0.003141
  -2.755662,    0.003397
  -2.206604,    0.003652
  -1.660339,    0.003906
  -1.116773,    0.004159
  -0.575814,    0.004410
  -0.037367,    0.004660
   0.498662,    0.004909
   1.032365,    0.005157
   1.563835,    0.005404
   2.105066,    0.005655
   2.661761,    0.005914
   3.221506,    0.006174
   3.784394,    0.006435
   4.353502,    0.006700
   4.950702,    0.006977
   5.608450,    0.007282
   6.356867,    0.007630
   7.222768,    0.008032
   8.216878,    0.008494
   9.289229,    0.008992
  10.180020,    0.009406
  11.046417,    0.009809
  11.913449,    0.010211
  12.781057,    0.010614
  13.649180,    0.011018
  14.517759,    0.011421
  15.386730,    0.011825
  16.256032,    0.012228
