alpha, CM
  -3.862750,    0.052065
  -3.307608,    0.052322
  -2.755662,    0.052579
  -2.206604,    0.052834
  -1.660339,    0.053088
  -1.116773,    0.053340
  -0.575814,    0.053591
  -0.037367,    0.053842
   0.498662,    0.054091
   1.032365,    0.054338
   1.563835,    0.054585
   2.105066,    0.054837
   2.661761,    0.055095
   3.221506,    0.055355
   3.784394,    0.055617
   4.353502,    0.055881
   4.950702,    0.056159
   5.608450,    0.056464
   6.356867,    0.056812
   7.222768,    0.057214
   8.216878,    0.057676
   9.289229,    0.058174
  10.180020,    0.058588
  11.046417,    0.058990
  11.913449,    0.059393
  12.781057,    0.059796
  13.649180,    0.060199
  14.517759,    0.060603
  15.386730,    0.061006
  16.256032,    0.061410
