Time, Mach number
   0.000000,    0.000001
   0.001667,    0.000895
   0.003333,    0.001785
   0.005000,    0.002675
   0.006667,    0.003564
   0.008333,    0.004454
   0.010000,    0.005343
   0.011667,    0.006233
   0.013333,    0.007122
   0.015000,    0.008012
   0.016667,    0.008902
   0.018333,    0.009791
   0.020000,    0.010672
   0.021667,    0.011551
   0.023333,    0.012431
   0.025000,    0.013311
   0.026667,    0.014190
   0.028333,    0.015070
   0.030000,    0.015949
   0.031667,    0.016829
   0.033333,    0.017709
   0.035000,    0.018588
   0.036667,    0.019459
   0.038333,    0.020328
   0.040000,    0.021197
   0.041667,    0.022066
   0.043333,    0.022936
   0.045000,    0.023805
   0.046667,    0.024674
   0.048333,    0.025543
   0.050000,    0.026413
   0.051667,    0.027282
   0.053333,    0.028142
   0.055000,    0.029000
   0.056667,    0.029859
   0.058333,    0.030718
   0.060000,    0.031576
   0.061667,    0.032435
   0.063333,    0.033294
   0.065000,    0.034152
   0.066667,    0.035011
   0.068333,    0.035870
   0.070000,    0.036719
   0.071667,    0.037566
   0.073333,    0.038414
   0.075000,    0.039262
   0.076667,    0.040110
   0.078333,    0.040957
   0.080000,    0.041805
   0.081667,    0.042653
   0.083333,    0.043500
   0.085000,    0.044348
   0.086667,    0.045186
   0.088333,    0.046022
   0.090000,    0.046859
   0.091667,    0.047695
   0.093333,    0.048531
   0.095000,    0.049368
   0.096667,    0.050204
   0.098333,    0.051041
   0.100000,    0.051877
   0.101667,    0.052713
   0.103333,    0.053537
   0.105000,    0.054358
   0.106667,    0.055180
   0.108333,    0.056002
   0.110000,    0.056823
   0.111667,    0.057645
   0.113333,    0.058467
   0.115000,    0.059288
   0.116667,    0.060110
   0.118333,    0.060932
   0.120000,    0.061740
   0.121667,    0.062546
   0.123333,    0.063352
   0.125000,    0.064158
   0.126667,    0.064964
   0.128333,    0.065770
   0.130000,    0.066576
   0.131667,    0.067382
   0.133333,    0.068188
   0.135000,    0.068994
   0.136667,    0.069786
   0.138333,    0.070576
   0.140000,    0.071367
   0.141667,    0.072157
   0.143333,    0.072947
   0.145000,    0.073738
   0.146667,    0.074528
   0.148333,    0.075318
   0.150000,    0.076109
   0.151667,    0.076899
   0.153333,    0.077675
   0.155000,    0.078450
   0.156667,    0.079224
   0.158333,    0.079999
   0.160000,    0.080774
   0.161667,    0.081548
   0.163333,    0.082323
   0.165000,    0.083097
   0.166667,    0.083872
   0.168333,    0.084646
   0.170000,    0.085407
   0.171667,    0.086166
   0.173333,    0.086925
   0.175000,    0.087683
   0.176667,    0.088442
   0.178333,    0.089201
   0.180000,    0.089960
   0.181667,    0.090718
   0.183333,    0.091477
   0.185000,    0.092236
   0.186667,    0.092981
   0.188333,    0.093724
   0.190000,    0.094467
   0.191667,    0.095210
   0.193333,    0.095953
   0.195000,    0.096696
   0.196667,    0.097439
   0.198333,    0.098182
   0.200000,    0.098925
   0.201667,    0.099668
   0.203333,    0.100395
   0.205000,    0.101120
   0.206667,    0.101845
   0.208333,    0.102570
   0.210000,    0.103295
   0.211667,    0.104020
   0.213333,    0.104744
   0.215000,    0.105469
   0.216667,    0.106194
   0.218333,    0.106919
   0.220000,    0.107626
   0.221667,    0.108331
   0.223333,    0.109036
   0.225000,    0.109740
   0.226667,    0.110445
   0.228333,    0.111149
   0.230000,    0.111854
   0.231667,    0.112559
   0.233333,    0.113263
   0.235000,    0.113968
   0.236667,    0.114655
   0.238333,    0.115339
   0.240000,    0.116024
   0.241667,    0.116708
   0.243333,    0.117393
   0.245000,    0.118077
   0.246667,    0.118762
   0.248333,    0.119447
   0.250000,    0.120131
   0.251667,    0.120816
   0.253333,    0.121483
   0.255000,    0.122147
   0.256667,    0.122812
   0.258333,    0.123477
   0.260000,    0.124142
   0.261667,    0.124807
   0.263333,    0.125471
   0.265000,    0.126136
   0.266667,    0.126801
   0.268333,    0.127466
   0.270000,    0.128113
   0.271667,    0.128759
   0.273333,    0.129404
   0.275000,    0.130049
   0.276667,    0.130695
   0.278333,    0.131340
   0.280000,    0.131985
   0.281667,    0.132631
   0.283333,    0.133276
   0.285000,    0.133922
   0.286667,    0.134550
   0.288333,    0.135176
   0.290000,    0.135802
   0.291667,    0.136429
   0.293333,    0.137055
   0.295000,    0.137681
   0.296667,    0.138307
   0.298333,    0.138934
   0.300000,    0.139560
   0.301667,    0.140186
   0.303333,    0.140796
   0.305000,    0.141403
   0.306667,    0.142011
   0.308333,    0.142618
   0.310000,    0.143226
   0.311667,    0.143833
   0.313333,    0.144440
   0.315000,    0.145048
   0.316667,    0.145655
   0.318333,    0.146263
   0.320000,    0.146854
   0.321667,    0.147443
   0.323333,    0.148032
   0.325000,    0.148621
   0.326667,    0.149210
   0.328333,    0.149799
   0.330000,    0.150388
   0.331667,    0.150978
   0.333333,    0.151567
   0.335000,    0.152156
   0.336667,    0.152729
   0.338333,    0.153300
   0.340000,    0.153871
   0.341667,    0.154442
   0.343333,    0.155014
   0.345000,    0.155585
   0.346667,    0.156156
   0.348333,    0.156727
   0.350000,    0.157299
   0.351667,    0.157870
   0.353333,    0.158431
   0.355000,    0.158992
   0.355811,    0.159264
   0.357478,    0.159816
   0.359145,    0.160368
   0.360811,    0.160919
   0.362478,    0.161471
   0.364145,    0.162023
   0.365811,    0.162575
   0.367478,    0.163126
   0.369145,    0.163670
   0.370811,    0.164199
   0.372478,    0.164729
   0.374145,    0.165259
   0.375811,    0.165789
   0.377478,    0.166318
   0.379145,    0.166848
   0.380811,    0.167378
   0.382478,    0.167908
   0.384145,    0.168438
   0.385811,    0.168956
   0.387478,    0.169456
   0.389145,    0.169956
   0.390811,    0.170455
   0.392478,    0.170955
   0.394145,    0.171455
   0.395811,    0.171955
   0.397478,    0.172455
   0.399145,    0.172954
   0.400811,    0.173454
   0.402478,    0.173941
   0.404145,    0.174408
   0.405811,    0.174874
   0.407478,    0.175340
   0.409145,    0.175806
   0.410811,    0.176273
   0.412478,    0.176739
   0.414145,    0.177205
   0.415811,    0.177671
   0.417478,    0.178138
   0.418518,    0.178429
   0.420185,    0.178679
   0.421852,    0.178929
   0.423518,    0.179179
   0.425185,    0.179429
   0.426852,    0.179679
   0.428518,    0.179929
   0.430185,    0.180179
   0.431852,    0.180428
   0.433518,    0.180678
   0.435185,    0.180928
   0.436852,    0.181024
   0.438518,    0.181119
