alpha body, CLh_e
  -4.000000,   -0.270409
  -3.172414,   -0.238986
  -2.344828,   -0.207051
  -1.517241,   -0.174612
  -0.689655,   -0.141670
   0.137931,   -0.107801
   0.965517,   -0.073894
   1.793103,   -0.039484
   2.620690,   -0.004577
   3.448276,    0.030833
   4.275862,    0.066747
   5.103448,    0.103165
   5.931034,    0.140089
   6.758621,    0.177520
   7.586207,    0.215462
   8.413793,    0.253562
   9.241379,    0.289178
  10.068966,    0.320257
  10.896552,    0.347068
  11.724138,    0.372395
  12.551724,    0.401734
  13.379310,    0.443545
  14.206897,    0.509498
  15.034483,    0.614706
  15.862069,    0.777866
