alpha body, CLh_e
  -4.000000,   -0.238353
  -3.172414,   -0.230478
  -2.344828,   -0.222150
  -1.517241,   -0.213371
  -0.689655,   -0.204135
   0.137931,   -0.194045
   0.965517,   -0.183913
   1.793103,   -0.173306
   2.620690,   -0.162222
   3.448276,   -0.150653
   4.275862,   -0.138589
   5.103448,   -0.126025
   5.931034,   -0.112956
   6.758621,   -0.099374
   7.586207,   -0.085271
   8.413793,   -0.070486
   9.241379,   -0.053815
  10.068966,   -0.034357
  10.896552,   -0.012300
  11.724138,    0.011265
  12.551724,    0.034560
  13.379310,    0.055405
  14.206897,    0.071516
  15.034483,    0.080806
