Cl, Efficiency
   0.856119,   23.288392
   0.946913,   27.138744
   1.037867,   31.015546
   1.128980,   34.781229
   1.220250,   38.232015
   1.311803,   41.233977
   1.403374,   43.611758
   1.495101,   45.294029
   1.586983,   46.248887
   1.679017,   46.495074
   1.771206,   46.129774
   1.863546,   45.236257
   1.956039,   43.936904
   2.048682,   42.343409
   2.141217,   40.558486
   2.228458,   38.585364
   2.302369,   36.367177
   2.357662,   33.916822
   2.392017,   31.291977
   2.406099,   28.574084
   2.403574,   25.871263
   2.391126,   23.319069
   2.378491,   21.159614
   2.378445,   19.436893
   2.406821,   18.228770
   2.482520,   17.615716
   2.627512,   17.675488
   2.866844,   18.505809
   3.228649,   20.235320
   3.744155,   23.029884
