Ground Distance, 
   0.000000,  148.875119
 724.361930,  148.875119
 775.440266,  146.966464
 826.518603,  145.057808
 877.596940,  143.149153
 928.675276,  141.240498
 979.753613,  139.331842
1030.831950,  137.423187
1081.910286,  135.514532
1132.988623,  133.605876
1184.066960,  131.697221
1187.172332,  131.669314
1218.189901,  131.390743
1438.285427,  129.422827
1481.908077,  129.034598
1525.399971,  128.648122
1568.761700,  128.263386
1611.993848,  127.880377
1620.624779,  127.803982
1621.315031,  127.797873
1621.597232,  127.795375
1621.735209,  127.794154
1621.884989,  127.792829
1621.954482,  127.792214
1621.982936,  127.791962
1621.986448,  127.791928
1621.989914,  127.791867
1622.024573,  127.791255
1622.371149,  127.785140
1625.836006,  127.723972
1660.393175,  127.110673
1871.671123,  123.227870
2076.299612,  119.231338
2274.087080,  115.121596
2464.843126,  110.899504
2648.379101,  106.566280
2824.508723,  102.123511
2993.048709,   97.573168
3153.819431,   92.917611
3306.645580,   88.159600
3451.356847,   83.302300
3587.788604,   78.349276
3715.782582,   73.304501
3835.187555,   68.172344
3945.860001,   62.957565
4047.664755,   57.665304
4140.475637,   52.301065
4224.176049,   46.870696
4298.659545,   41.380372
4363.830354,   35.836566
4419.603865,   30.246023
4465.907057,   24.615727
4502.678875,   18.952869
4529.870556,   13.264813
4547.445878,    7.559054
4555.381357,    1.843182
4555.882708,   -0.000000
