alpha, CM
  -5.581336,   -0.154296
  -4.928973,   -0.154297
  -4.276610,   -0.154297
  -3.624246,   -0.154298
  -2.971883,   -0.154299
  -2.319519,   -0.153859
  -1.667156,   -0.153903
  -1.014793,   -0.153948
  -0.362429,   -0.153992
   0.289934,   -0.154036
   0.942297,   -0.154080
   1.594661,   -0.154124
   2.247024,   -0.154168
   2.899387,   -0.154213
   3.551751,   -0.154257
   4.204114,   -0.154301
   4.856478,   -0.154345
   5.508841,   -0.154389
   6.161204,   -0.154433
   6.813568,   -0.154478
   7.465931,   -0.154522
   8.118294,   -0.154566
   8.770658,   -0.154610
   9.423021,   -0.154654
  10.075385,   -0.154699
  10.727748,   -0.154743
  11.380111,   -0.154787
  12.032475,   -0.154831
  12.684838,   -0.154875
  13.337201,   -0.154919
