alpha, CM
  -4.000000,   -0.485868
  -3.172414,   -0.485869
  -2.344828,   -0.485869
  -1.517241,   -0.485870
  -0.689655,   -0.485871
   0.137931,   -0.485431
   0.965517,   -0.485476
   1.793103,   -0.485520
   2.620690,   -0.485564
   3.448276,   -0.485608
   4.275862,   -0.485652
   5.103448,   -0.485696
   5.931034,   -0.485741
   6.758621,   -0.485785
   7.586207,   -0.485829
   8.413793,   -0.485873
   9.241379,   -0.485917
  10.068966,   -0.485962
  10.896552,   -0.486006
  11.724138,   -0.486050
  12.551724,   -0.486094
  13.379310,   -0.486138
  14.206897,   -0.486182
  15.034483,   -0.486227
  15.862069,   -0.486271
  16.689655,   -0.486315
  17.517241,   -0.486359
  18.344828,   -0.486403
  19.172414,   -0.486447
  20.000000,   -0.486492
