eta, gamma
   0.000000,  408.014144
   0.020408,  407.862673
   0.040816,  407.318239
   0.061224,  406.267281
   0.081633,  404.668518
   0.102041,  402.501525
   0.122449,  399.755963
   0.142857,  396.427180
   0.163265,  392.514042
   0.183673,  388.017869
   0.204082,  382.942124
   0.224490,  377.292791
   0.244898,  371.079655
   0.265306,  364.319007
   0.285714,  357.038958
   0.306122,  349.290385
   0.326531,  341.176439
   0.346939,  332.927709
   0.367347,  324.820142
   0.387755,  316.711477
   0.408163,  308.530380
   0.428571,  300.260768
   0.448980,  291.901997
   0.469388,  283.459998
   0.489796,  274.943818
   0.510204,  266.363472
   0.530612,  257.730420
   0.551020,  249.056520
   0.571429,  240.352791
   0.591837,  231.629822
   0.612245,  222.897607
   0.632653,  214.165381
   0.653061,  205.441441
   0.673469,  196.732932
   0.693878,  188.045545
   0.714286,  179.383111
   0.734694,  170.747017
   0.755102,  162.135351
   0.775510,  153.541631
   0.795918,  144.952883
   0.816327,  136.346643
   0.836735,  127.686199
   0.857143,  118.912765
   0.877551,  109.932159
   0.897959,  100.591056
   0.918367,   90.632084
   0.938776,   79.601619
   0.959184,   66.633101
   0.979592,   49.751977
   1.000000,    0.000000
