eta, gamma
   0.000000,  855.229600
   0.020408,  854.937106
   0.040816,  853.869273
   0.061224,  851.786456
   0.081633,  848.602668
   0.102041,  844.276742
   0.122449,  838.789632
   0.142857,  832.135254
   0.163265,  824.316114
   0.183673,  815.341380
   0.204082,  805.226666
   0.224490,  793.995521
   0.244898,  781.683175
   0.265306,  768.343936
   0.285714,  754.065310
   0.306122,  738.996709
   0.326531,  723.424889
   0.346939,  707.980808
   0.367347,  693.537919
   0.387755,  679.543003
   0.408163,  665.685300
   0.428571,  651.847725
   0.448980,  637.970637
   0.469388,  624.021166
   0.489796,  609.980925
   0.510204,  595.838917
   0.530612,  581.590162
   0.551020,  567.233788
   0.571429,  552.769424
   0.591837,  538.197199
   0.612245,  523.516909
   0.632653,  508.727257
   0.653061,  493.825044
   0.673469,  478.804231
   0.693878,  463.654754
   0.714286,  448.360959
   0.734694,  432.899417
   0.755102,  417.235824
   0.775510,  401.320437
   0.795918,  385.081242
   0.816327,  368.413406
   0.836735,  351.162590
   0.857143,  333.097660
   0.877551,  313.864419
   0.897959,  292.903463
   0.918367,  269.295552
   0.938776,  241.445608
   0.959184,  206.344928
   0.979592,  157.227807
   1.000000,    0.000000
