CD, CL
   0.030657,   -0.226313
   0.030350,   -0.167807
   0.030515,   -0.109268
   0.031152,   -0.050696
   0.032266,    0.007912
   0.033862,    0.066557
   0.035938,    0.125236
   0.038500,    0.183952
   0.041553,    0.242703
   0.045095,    0.301492
   0.049133,    0.360322
   0.053668,    0.419190
   0.058700,    0.478096
   0.064231,    0.537041
   0.070266,    0.596025
   0.076806,    0.655054
   0.083850,    0.714123
   0.091403,    0.773233
   0.099469,    0.832384
   0.108049,    0.891576
   0.117145,    0.950816
   0.126760,    1.010098
   0.136900,    1.069424
   0.147561,    1.128792
   0.158750,    1.188208
   0.170489,    1.248133
   0.182900,    1.310757
   0.195884,    1.373379
   0.209439,    1.435999
   0.223491,    1.497991
