CD, CL
   0.029426,   -0.066854
   0.029120,   -0.008348
   0.029284,    0.050191
   0.029921,    0.108763
   0.031036,    0.167371
   0.032631,    0.226016
   0.034707,    0.284696
   0.037270,    0.343411
   0.040322,    0.402162
   0.043865,    0.460951
   0.047903,    0.519781
   0.052437,    0.578649
   0.057469,    0.637555
   0.063000,    0.696500
   0.069036,    0.755484
   0.075575,    0.814513
   0.082619,    0.873582
   0.090173,    0.932692
   0.098238,    0.991843
   0.106818,    1.051035
   0.115914,    1.110275
   0.125530,    1.169558
   0.135669,    1.228883
   0.146330,    1.288251
   0.157519,    1.347667
   0.169258,    1.407593
   0.181669,    1.470216
   0.194654,    1.532839
   0.208209,    1.595459
   0.222260,    1.657450
