alpha_h, Cl
   0.000000,    0.331103
   0.034483,    0.333182
   0.068966,    0.337065
   0.103448,    0.340671
   0.137931,    0.343984
   0.172414,    0.346986
   0.206897,    0.349654
   0.241379,    0.351967
   0.275862,    0.353896
   0.310345,    0.355412
   0.344828,    0.356480
   0.379310,    0.357059
   0.413793,    0.357103
   0.448276,    0.356558
   0.482759,    0.355360
   0.517241,    0.353422
   0.551724,    0.350650
   0.586207,    0.346949
   0.620690,    0.342190
   0.655172,    0.336213
   0.689655,    0.328822
   0.724138,    0.319768
   0.758621,    0.308729
   0.793103,    0.295275
   0.827586,    0.278809
   0.862069,    0.258453
   0.896552,    0.232804
   0.931034,    0.199298
   0.965517,    0.151906
   1.000000,    0.000000
