alpha_h, CL
  -6.622119,   -0.829912
  -6.468177,   -0.821651
  -6.327496,   -0.814101
  -6.195142,   -0.806999
  -6.063299,   -0.799923
  -5.931738,   -0.792863
  -5.800710,   -0.785831
  -5.669939,   -0.778814
  -5.539723,   -0.771826
  -5.409739,   -0.764850
  -5.280330,   -0.757905
  -5.151128,   -0.750972
  -5.022523,   -0.744070
  -4.894099,   -0.737178
  -4.766291,   -0.730319
  -4.638641,   -0.723469
  -4.511626,   -0.716653
  -4.384744,   -0.709844
  -4.258514,   -0.703070
  -4.132394,   -0.696301
  -4.006944,   -0.689569
  -3.881579,   -0.682841
  -3.756902,   -0.676151
  -3.632286,   -0.669463
  -3.508373,   -0.662813
  -3.384498,   -0.656166
  -3.261341,   -0.649556
  -3.138206,   -0.642948
  -3.015791,   -0.636379
  -2.893403,   -0.629811
  -2.771704,   -0.623280
  -2.650054,   -0.616752
  -2.529063,   -0.610259
  -2.408140,   -0.603769
  -2.287847,   -0.597314
  -2.167642,   -0.590863
  -2.048036,   -0.584445
  -1.928538,   -0.578032
  -1.809609,   -0.571649
  -1.677418,   -0.564555
