alpha_h, CL
  -6.622119,   -0.527515
  -6.468177,   -0.519253
  -6.327496,   -0.511704
  -6.195142,   -0.504601
  -6.063299,   -0.497526
  -5.931738,   -0.490465
  -5.800710,   -0.483434
  -5.669939,   -0.476416
  -5.539723,   -0.469428
  -5.409739,   -0.462452
  -5.280330,   -0.455508
  -5.151128,   -0.448574
  -5.022523,   -0.441673
  -4.894099,   -0.434781
  -4.766291,   -0.427922
  -4.638641,   -0.421072
  -4.511626,   -0.414255
  -4.384744,   -0.407446
  -4.258514,   -0.400672
  -4.132394,   -0.393904
  -4.006944,   -0.387172
  -3.881579,   -0.380444
  -3.756902,   -0.373753
  -3.632286,   -0.367066
  -3.508373,   -0.360416
  -3.384498,   -0.353768
  -3.261341,   -0.347159
  -3.138206,   -0.340551
  -3.015791,   -0.333981
  -2.893403,   -0.327414
  -2.771704,   -0.320883
  -2.650054,   -0.314354
  -2.529063,   -0.307861
  -2.408140,   -0.301372
  -2.287847,   -0.294916
  -2.167642,   -0.288466
  -2.048036,   -0.282047
  -1.928538,   -0.275634
  -1.809609,   -0.269252
  -1.677418,   -0.262158
