"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 29/09/16, 12.19.25"


15
X,Y
0.0,0.0593734,
0.0314384,0.0666033,
0.0727821,0.0755200,
0.115274,0.0841958,
0.168676,0.0940766,
0.208585,0.101788,
0.256532,0.108536,
0.300746,0.115043,
0.345823,0.120827,
0.376113,0.124442,
0.405111,0.127093,
0.428510,0.129021,
0.456503,0.131913,
0.486506,0.134323,
0.5,0.135769,
