"Y(X), created by Plot Digitizer, 2.6.4"
"Date: 29/09/16, 12.14.35"


23
X,Y
0.0,-0.0891304,
0.0182342,-0.0704969,
0.0350288,-0.0527950,
0.0523033,-0.0313665,
0.0700576,-0.0108696,
0.0839731,0.0105590,
0.102207,0.0291925,
0.120921,0.0487578,
0.138676,0.0664596,
0.155470,0.0832298,
0.177543,0.0990683,
0.203935,0.115839,
0.224568,0.128882,
0.251440,0.144720,
0.278791,0.156832,
0.307582,0.168944,
0.336852,0.180124,
0.368522,0.191304,
0.398273,0.200621,
0.429463,0.207143,
0.458733,0.214596,
0.484165,0.218323,
0.5,0.218323,
