CD, CL
   0.010803,   -0.050316
   0.009395,   -0.013070
   0.008210,    0.023961
   0.007245,    0.060799
   0.006498,    0.097450
   0.005963,    0.133919
   0.005640,    0.170214
   0.005524,    0.206340
   0.005610,    0.242304
   0.005901,    0.278111
   0.006389,    0.313769
   0.007092,    0.350082
   0.008032,    0.387432
   0.009196,    0.424987
   0.010593,    0.462753
   0.012232,    0.500936
   0.014197,    0.541004
   0.016656,    0.585134
   0.019824,    0.635348
   0.023985,    0.693444
   0.029417,    0.760142
   0.036061,    0.832089
   0.042199,    0.891856
   0.048729,    0.950167
   0.055863,    1.009035
   0.063616,    1.068458
   0.071946,    1.128039
   0.080738,    1.186990
   0.089783,    1.244123
   0.098764,    1.297859
