CD, CL
   0.011943,   -0.670252
   0.010535,   -0.633006
   0.009350,   -0.595974
   0.008385,   -0.559136
   0.007638,   -0.522486
   0.007103,   -0.486016
   0.006780,   -0.449722
   0.006664,   -0.413596
   0.006750,   -0.377632
   0.007041,   -0.341824
   0.007529,   -0.306166
   0.008232,   -0.269853
   0.009172,   -0.232503
   0.010336,   -0.194948
   0.011733,   -0.157182
   0.013372,   -0.118999
   0.015337,   -0.078931
   0.017796,   -0.034801
   0.020964,    0.015413
   0.025125,    0.073508
   0.030557,    0.140206
   0.037201,    0.212153
   0.043339,    0.271921
   0.049869,    0.330231
   0.057003,    0.389100
   0.064756,    0.448522
   0.073086,    0.508104
   0.081878,    0.567054
   0.090923,    0.624188
   0.099904,    0.677924
