CD, CL
   0.020103,   -0.893734
   0.018695,   -0.856488
   0.017510,   -0.819456
   0.016545,   -0.782618
   0.015798,   -0.745968
   0.015263,   -0.709499
   0.014940,   -0.673204
   0.014824,   -0.637078
   0.014910,   -0.601114
   0.015201,   -0.565306
   0.015689,   -0.529649
   0.016392,   -0.493336
   0.017332,   -0.455985
   0.018496,   -0.418431
   0.019893,   -0.380665
   0.021532,   -0.342482
   0.023497,   -0.302414
   0.025956,   -0.258283
   0.029124,   -0.208070
   0.033285,   -0.149974
   0.038717,   -0.083276
   0.045361,   -0.011329
   0.051499,    0.048439
   0.058029,    0.106749
   0.065163,    0.165617
   0.072916,    0.225040
   0.081246,    0.284621
   0.090038,    0.343572
   0.099083,    0.400706
   0.108064,    0.454441
