Ground Roll distance, Load Factor
 339.063479,    0.788361
 347.041365,    0.784220
 402.122588,    0.756030
 413.018539,    0.750535
 423.874850,    0.745088
 434.691715,    0.739686
 445.469325,    0.734331
 447.620153,    0.733265
 447.671970,    0.733239
 447.709438,    0.733221
 447.727910,    0.733212
 447.739657,    0.733206
 447.743751,    0.733204
 447.745059,    0.733203
 447.745722,    0.733203
 447.746225,    0.733202
 447.746679,    0.733202
 447.751216,    0.733195
 447.796585,    0.733135
 448.250171,    0.732532
 452.775718,    0.726470
 487.699112,    0.676800
 496.954182,    0.662720
 508.943534,    0.643858
 543.845441,    0.584600
 576.387240,    0.522729
 605.494562,    0.461019
 631.279633,    0.400449
 653.945042,    0.341850
 673.712751,    0.285973
 690.805132,    0.233494
 692.182822,    0.229077
 692.925475,    0.226684
 693.600823,    0.224501
 700.172602,    0.202893
 705.413650,    0.185171
 708.758412,    0.173623
 710.446914,    0.167720
 712.526168,    0.160382
 723.940314,    0.118639
 726.025398,    0.110729
 728.002586,    0.103141
 728.458871,    0.101377
 728.961084,    0.099431
 733.713005,    0.080750
 741.809842,    0.047717
 743.509884,    0.040569
 744.879634,    0.034750
 746.197853,    0.029097
 746.679557,    0.027018
 746.971087,    0.025757
 747.075725,    0.025303
 747.190135,    0.024807
 748.271689,    0.020090
 751.682184,    0.004883
 752.169036,    0.002660
 752.429329,    0.001463
 752.594808,    0.000698
 752.693070,    0.000243
 752.738541,    0.000031
 752.742390,    0.000013
 752.744274,    0.000004
 752.744979,    0.000001
 752.745138,    0.000000
 752.745149,    0.000000
