alpha body, Efficiency
  -4.000000,   20.507241
  -3.172414,   22.603310
  -2.344828,   24.651186
  -1.517241,   26.608622
  -0.689655,   28.410964
   0.137931,   30.024688
   0.965517,   31.392060
   1.793103,   32.489793
   2.620690,   33.298042
   3.448276,   33.807050
   4.275862,   34.033151
   5.103448,   33.985372
   5.931034,   33.692958
   6.758621,   33.187672
   7.586207,   32.507784
   8.413793,   31.692034
   9.241379,   30.762809
  10.068966,   29.740896
  10.896552,   28.641324
  11.724138,   27.472089
  12.551724,   26.251749
  13.379310,   25.018021
  14.206897,   23.916324
  15.034483,   22.929154
  15.862069,   22.044816
  16.689655,   21.263629
  17.517241,   20.585828
  18.344828,   20.012540
  19.172414,   19.544842
  20.000000,   19.187955
