CLe, Neutral Point
   1.298138,    0.161992
   1.388542,    0.158662
   1.479100,    0.152055
   1.569811,    0.145560
   1.660673,    0.136873
   1.751811,    0.130692
   1.842961,    0.126841
   1.934260,    0.120621
   2.025708,    0.114530
   2.117302,    0.108563
   2.209043,    0.107263
   2.300929,    0.112772
   2.392960,    0.115828
   2.485134,    0.114327
   2.577453,    0.114130
   2.669915,    0.123480
   2.762520,    0.153446
   2.855267,    0.207063
   2.948153,    0.282182
   3.041175,    0.371484
   3.134332,    0.446168
   3.227623,    0.404595
   3.321055,    0.327107
   3.411896,    0.329436
   3.492727,    0.361641
   3.557761,    0.426595
   3.603683,    0.569030
   3.629661,    1.138248
   3.637358,    0.290595
   3.630938,   -1.026829
