eta, gamma basic
   0.000000,  148.557966
   0.020408,  148.402967
   0.040816,  147.981922
   0.061224,  147.353645
   0.081633,  146.545587
   0.102041,  145.576031
   0.122449,  144.458408
   0.142857,  143.203002
   0.163265,  141.817786
   0.183673,  140.308885
   0.204082,  138.680812
   0.224490,  136.936552
   0.244898,  135.077482
   0.265306,  133.103082
   0.285714,  131.010724
   0.306122,  128.783253
   0.326531,  126.398306
   0.346939,  123.891638
   0.367347,  121.289790
   0.387755,  118.608537
   0.408163,  115.860003
   0.428571,  113.054211
   0.448980,  110.199710
   0.469388,  107.303906
   0.489796,  104.373250
   0.510204,  101.413134
   0.530612,   98.428572
   0.551020,   95.424027
   0.571429,   92.403039
   0.591837,   89.368520
   0.612245,   86.322744
   0.632653,   83.267321
   0.653061,   80.203138
   0.673469,   77.130272
   0.693878,   74.047858
   0.714286,   70.953910
   0.734694,   67.845060
   0.755102,   64.716189
   0.775510,   61.559907
   0.795918,   58.365797
   0.816327,   55.119285
   0.836735,   51.799932
   0.857143,   48.378729
   0.877551,   44.813630
   0.897959,   41.041728
   0.918367,   36.964386
   0.938776,   32.415509
   0.959184,   27.080189
   0.979592,   20.203211
   1.000000,    0.000000
