alpha_w, Cl
   0.000000,    1.714521
   0.005025,    1.717769
   0.010050,    1.724224
   0.015075,    1.730657
   0.020101,    1.737062
   0.025126,    1.743435
   0.030151,    1.749772
   0.035176,    1.756070
   0.040201,    1.762330
   0.045226,    1.768547
   0.050251,    1.774722
   0.055276,    1.780853
   0.060302,    1.786940
   0.065327,    1.792981
   0.070352,    1.798977
   0.075377,    1.804927
   0.080402,    1.810831
   0.085427,    1.816689
   0.090452,    1.822501
   0.095477,    1.828266
   0.100503,    1.833986
   0.105528,    1.839660
   0.110553,    1.845288
   0.115578,    1.850871
   0.120603,    1.856410
   0.125628,    1.861903
   0.130653,    1.867353
   0.135678,    1.872760
   0.140704,    1.878123
   0.145729,    1.883444
   0.150754,    1.888722
   0.155779,    1.893959
   0.160804,    1.899156
   0.165829,    1.904311
   0.170854,    1.909427
   0.175879,    1.914504
   0.180905,    1.919542
   0.185930,    1.924541
   0.190955,    1.929504
   0.195980,    1.934430
   0.201005,    1.939319
   0.206030,    1.944173
   0.211055,    1.948993
   0.216080,    1.953778
   0.221106,    1.958530
   0.226131,    1.963250
   0.231156,    1.967938
   0.236181,    1.972595
   0.241206,    1.977223
   0.246231,    1.981821
   0.251256,    1.986392
   0.256281,    1.990936
   0.261307,    1.995454
   0.266332,    1.999949
   0.271357,    2.004421
   0.276382,    2.008873
   0.281407,    2.013306
   0.286432,    2.017724
   0.291457,    2.022130
   0.296482,    2.026421
   0.301508,    2.030003
   0.306533,    2.032383
   0.311558,    2.034485
   0.316583,    2.036554
   0.321608,    2.038587
   0.326633,    2.040584
   0.331658,    2.042543
   0.336683,    2.044464
   0.341709,    2.046345
   0.346734,    2.048188
   0.351759,    2.049991
   0.356784,    2.051753
   0.361809,    2.053476
   0.366834,    2.055158
   0.371859,    2.056800
   0.376884,    2.058400
   0.381910,    2.059960
   0.386935,    2.061479
   0.391960,    2.062956
   0.396985,    2.064392
   0.402010,    2.065787
   0.407035,    2.067139
   0.412060,    2.068451
   0.417085,    2.069720
   0.422111,    2.070947
   0.427136,    2.072132
   0.432161,    2.073275
   0.437186,    2.074375
   0.442211,    2.075432
   0.447236,    2.076446
   0.452261,    2.077416
   0.457286,    2.078343
   0.462312,    2.079227
   0.467337,    2.080065
   0.472362,    2.080860
   0.477387,    2.081609
   0.482412,    2.082313
   0.487437,    2.082971
   0.492462,    2.083583
   0.497487,    2.084148
   0.502513,    2.084665
   0.507538,    2.085135
   0.512563,    2.085556
   0.517588,    2.085928
   0.522613,    2.086250
   0.527638,    2.086522
   0.532663,    2.086742
   0.537688,    2.086910
   0.542714,    2.087025
   0.547739,    2.087086
   0.552764,    2.087092
   0.557789,    2.087043
   0.562814,    2.086936
   0.567839,    2.086771
   0.572864,    2.086547
   0.577889,    2.086262
   0.582915,    2.085915
   0.587940,    2.085504
   0.592965,    2.085029
   0.597990,    2.084486
   0.603015,    2.083876
   0.608040,    2.083196
   0.613065,    2.082443
   0.618090,    2.081617
   0.623116,    2.080715
   0.628141,    2.079734
   0.633166,    2.078673
   0.638191,    2.077528
   0.643216,    2.076298
   0.648241,    2.074980
   0.653266,    2.073570
   0.658291,    2.072066
   0.663317,    2.070464
   0.668342,    2.068761
   0.673367,    2.066953
   0.678392,    2.065036
   0.683417,    2.063006
   0.688442,    2.060859
   0.693467,    2.058590
   0.698492,    2.056195
   0.703518,    2.053668
   0.708543,    2.051003
   0.713568,    2.048195
   0.718593,    2.045238
   0.723618,    2.042124
   0.728643,    2.038847
   0.733668,    2.035400
   0.738693,    2.031774
   0.743719,    2.027960
   0.748744,    2.023950
   0.753769,    2.019734
   0.758794,    2.015302
   0.763819,    2.010642
   0.768844,    2.005743
   0.773869,    2.000591
   0.778894,    1.995173
   0.783920,    1.989474
   0.788945,    1.983479
   0.793970,    1.977170
   0.798995,    1.970530
   0.804020,    1.963538
   0.809045,    1.956172
   0.814070,    1.948411
   0.819095,    1.940228
   0.824121,    1.931597
   0.829146,    1.922489
   0.834171,    1.912871
   0.839196,    1.902708
   0.844221,    1.891963
   0.849246,    1.880594
   0.854271,    1.868555
   0.859296,    1.855797
   0.864322,    1.842265
   0.869347,    1.827897
   0.874372,    1.812628
   0.879397,    1.796383
   0.884422,    1.779079
   0.889447,    1.760625
   0.894472,    1.740919
   0.899497,    1.719844
   0.904523,    1.697272
   0.909548,    1.673055
   0.914573,    1.647025
   0.919598,    1.618991
   0.924623,    1.588733
   0.929648,    1.555994
   0.934673,    1.520475
   0.939698,    1.481823
   0.944724,    1.439615
   0.949749,    1.393338
   0.954774,    1.342361
   0.959799,    1.285893
   0.964824,    1.222908
   0.969849,    1.152041
   0.974874,    1.071387
   0.979899,    0.978130
   0.984925,    0.867715
   0.989950,    0.731705
   0.994975,    0.549904
   1.000000,    0.000000
