Time, Load Factor
   0.000100,    0.000000
   0.000597,    0.000000
   0.002118,    0.000000
   0.006000,    0.000000
   0.013409,    0.000000
   0.025776,    0.000001
   0.050478,    0.000003
   0.078860,    0.000008
   0.107231,    0.000016
   0.135754,    0.000025
   0.164285,    0.000037
   0.192786,    0.000050
   0.221427,    0.000066
   0.250002,    0.000085
   0.278792,    0.000105
   0.307720,    0.000128
   0.336801,    0.000153
   0.365999,    0.000181
   0.395324,    0.000211
   0.424752,    0.000244
   0.454334,    0.000279
   0.483922,    0.000316
   0.513902,    0.000356
   0.543998,    0.000399
   0.574132,    0.000445
   0.604589,    0.000493
   0.635202,    0.000544
   0.665680,    0.000597
   0.696805,    0.000654
   0.728105,    0.000714
   0.759386,    0.000777
   0.790805,    0.000842
   0.823009,    0.000912
   0.855112,    0.000984
   0.887601,    0.001060
   0.920021,    0.001138
   0.952657,    0.001220
   0.985716,    0.001305
   1.019144,    0.001395
   1.052681,    0.001488
   1.086312,    0.001584
   1.120768,    0.001685
   1.155376,    0.001791
   1.190329,    0.001900
   1.225051,    0.002012
   1.260463,    0.002129
   1.295730,    0.002249
   1.331831,    0.002375
   1.367713,    0.002504
   1.403564,    0.002636
   1.439859,    0.002773
   1.476690,    0.002916
   1.513168,    0.003060
   1.550329,    0.003211
   1.587555,    0.003366
   1.625520,    0.003528
   1.663335,    0.003692
   1.701359,    0.003862
   1.739975,    0.004037
   1.778616,    0.004217
   1.818149,    0.004405
   1.857714,    0.004597
   1.897315,    0.004793
   1.937493,    0.004996
   1.977233,    0.005201
   2.017468,    0.005413
   2.057621,    0.005628
   2.098892,    0.005854
   2.140367,    0.006085
   2.181313,    0.006317
   2.222727,    0.006557
   2.264752,    0.006804
   2.306943,    0.007057
   2.349666,    0.007318
   2.392480,    0.007583
   2.435325,    0.007854
   2.478412,    0.008131
   2.521890,    0.008415
   2.565666,    0.008706
   2.609548,    0.009002
   2.653538,    0.009304
   2.697987,    0.009614
   2.742758,    0.009931
   2.787783,    0.010255
   2.832751,    0.010584
   2.878364,    0.010922
   2.924142,    0.011267
   2.970033,    0.011618
   3.016121,    0.011975
   3.062908,    0.012344
   3.109176,    0.012714
   3.155950,    0.013093
   3.203176,    0.013481
   3.250564,    0.013876
   3.298182,    0.014278
   3.345500,    0.014684
   3.393585,    0.015101
   3.441717,    0.015525
   3.490411,    0.015959
   3.539407,    0.016402
   3.588110,    0.016848
   3.637471,    0.017305
   3.686899,    0.017770
   3.736685,    0.018243
   3.786223,    0.018721
   3.836643,    0.019212
   3.886872,    0.019708
   3.937877,    0.020218
   3.989209,    0.020737
   4.040325,    0.021260
   4.091267,    0.021788
   4.142668,    0.022327
   4.193968,    0.022871
   4.246300,    0.023432
   4.248393,    0.023455
   4.248869,    0.023460
   4.248974,    0.023461
   4.249123,    0.023463
   4.249175,    0.023463
   4.249275,    0.023464
   4.249316,    0.023465
   4.249320,    0.023465
   4.249324,    0.023465
   4.249364,    0.023465
   4.249766,    0.023469
   4.251923,    0.023493
   4.260001,    0.023580
   4.285765,    0.023860
   4.334340,    0.024391
   4.382405,    0.024922
   4.430454,    0.025458
   4.478753,    0.026002
   4.527143,    0.026553
   4.575592,    0.027110
   4.624658,    0.027679
   4.673806,    0.028255
   4.723125,    0.028838
   4.772612,    0.029429
   4.822316,    0.030028
   4.872217,    0.030636
   4.922507,    0.031253
   4.973108,    0.031880
   5.023738,    0.032514
   5.074108,    0.033149
   5.124756,    0.033794
   5.175556,    0.034447
   5.226723,    0.035110
   5.278219,    0.035784
   5.330175,    0.036469
   5.381689,    0.037154
   5.433555,    0.037850
   5.485692,    0.038556
   5.537972,    0.039269
   5.590382,    0.039991
   5.642837,    0.040718
   5.695399,    0.041454
   5.748291,    0.042200
   5.801419,    0.042955
   5.854678,    0.043719
   5.908203,    0.044492
   5.961203,    0.045264
   6.014767,    0.046051
   6.068625,    0.046847
   6.122578,    0.047652
   6.176799,    0.048466
   6.231116,    0.049289
   6.285440,    0.050117
   6.340042,    0.050956
   6.394772,    0.051804
   6.450166,    0.052668
   6.505531,    0.053538
   6.560856,    0.054413
   6.616344,    0.055298
   6.672373,    0.056198
   6.727766,    0.057094
   6.784048,    0.058011
   6.840168,    0.058931
   6.896461,    0.059861
   6.952964,    0.060801
   7.009604,    0.061750
   7.066298,    0.062706
   7.123010,    0.063669
   7.179721,    0.064639
   7.236718,    0.065620
   7.293922,    0.066611
   7.351312,    0.067611
   7.409361,    0.068630
   7.467271,    0.069653
   7.525191,    0.070683
   7.583316,    0.071724
   7.641609,    0.072774
   7.700113,    0.073834
   7.758616,    0.074901
   7.817439,    0.075981
   7.876215,    0.077066
   7.935129,    0.078161
   7.994180,    0.079265
   8.053264,    0.080377
   8.112483,    0.081497
   8.172226,    0.082635
   8.232014,    0.083779
   8.291963,    0.084934
   8.352085,    0.086099
   8.412656,    0.087280
   8.472889,    0.088461
   8.533217,    0.089650
   8.593887,    0.090853
   8.654559,    0.092063
   8.715533,    0.093286
   8.727746,    0.093532
   8.736018,    0.093699
   8.742617,    0.093832
   8.743599,    0.093851
   8.743833,    0.093856
   8.743905,    0.093858
   8.743939,    0.093858
   8.743946,    0.093859
   8.743954,    0.093859
   8.744031,    0.093860
   8.744724,    0.093874
   8.748743,    0.093955
   8.763093,    0.094245
   8.811984,    0.095235
   8.867623,    0.096366
   8.923520,    0.097508
   8.979573,    0.098659
   9.035881,    0.099820
   9.092404,    0.100991
   9.148720,    0.102164
   9.205512,    0.103352
   9.262126,    0.104542
   9.318660,    0.105735
   9.375511,    0.106941
   9.432481,    0.108155
   9.489629,    0.109378
   9.546727,    0.110605
   9.604263,    0.111847
   9.661821,    0.113095
   9.719218,    0.114346
   9.776764,    0.115604
   9.834634,    0.116876
   9.892602,    0.118155
   9.950469,    0.119437
  10.008520,    0.120729
  10.066906,    0.122034
  10.125242,    0.123343
  10.183644,    0.124659
  10.242354,    0.125987
  10.301234,    0.127325
  10.360008,    0.128665
  10.418895,    0.130014
  10.477722,    0.131367
  10.536972,    0.132735
  10.596207,    0.134108
  10.655393,    0.135485
  10.714881,    0.136874
  10.774554,    0.138274
  10.834559,    0.139686
  10.894432,    0.141101
  10.954355,    0.142523
  11.014374,    0.143952
  11.074565,    0.145390
  11.134861,    0.146837
  11.195128,    0.148288
  11.255503,    0.149747
  11.316177,    0.151218
  11.376900,    0.152696
  11.437915,    0.154187
  11.498965,    0.155684
  11.559984,    0.157185
  11.621290,    0.158699
  11.682601,    0.160218
  11.743915,    0.161743
  11.805463,    0.163278
  11.867069,    0.164820
  11.928781,    0.166371
  11.990563,    0.167928
  12.052456,    0.169493
  12.114489,    0.171067
  12.176490,    0.172646
  12.238494,    0.174230
  12.300810,    0.175827
  12.363436,    0.177437
  12.426286,    0.179058
  12.489304,    0.180688
  12.552133,    0.182319
  12.614921,    0.183954
  12.677848,    0.185598
  12.740675,    0.187244
  12.803771,    0.188902
  12.867135,    0.190573
  12.930653,    0.192253
  12.994164,    0.193937
  13.057722,    0.195628
  13.121378,    0.197327
  13.185269,    0.199036
  13.249443,    0.200759
  13.313645,    0.202487
  13.377613,    0.204214
  13.441981,    0.205957
  13.506369,    0.207705
  13.570793,    0.209459
  13.583718,    0.209812
  13.632699,    0.211150
  13.633215,    0.211164
  13.633362,    0.211168
  13.633600,    0.211174
  13.633678,    0.211177
  13.633832,    0.211181
  13.633852,    0.211181
  13.633863,    0.211182
  13.633873,    0.211182
  13.633882,    0.211182
  13.633974,    0.211185
  13.634887,    0.211210
  13.641271,    0.211384
  13.669796,    0.212165
  13.726223,    0.213711
  13.784283,    0.215306
  13.842305,    0.216903
  13.900518,    0.218509
  13.958825,    0.220121
  14.017140,    0.221737
  14.075459,    0.223356
  14.133968,    0.224983
  14.192534,    0.226616
  14.251115,    0.228252
  14.310013,    0.229900
  14.368785,    0.231549
  14.427570,    0.233200
  14.486516,    0.234860
  14.545512,    0.236524
  14.604755,    0.238199
  14.664056,    0.239878
  14.723339,    0.241560
  14.782810,    0.243251
  14.842262,    0.244944
  14.901854,    0.246644
  14.961589,    0.248352
  15.021263,    0.250061
  15.081189,    0.251780
  15.141002,    0.253499
  15.201095,    0.255229
  15.261217,    0.256963
  15.321506,    0.258705
  15.381845,    0.260451
  15.442218,    0.262201
  15.502652,    0.263956
  15.563200,    0.265718
  15.623815,    0.267484
  15.684519,    0.269256
  15.745140,    0.271028
  15.806020,    0.272810
  15.866801,    0.274593
  15.927864,    0.276387
  15.989006,    0.278185
  16.050203,    0.279989
  16.111474,    0.281797
  16.172956,    0.283614
  16.234510,    0.285436
  16.295991,    0.287259
  16.357633,    0.289089
  16.419417,    0.290926
  16.481199,    0.292765
  16.543123,    0.294612
  16.605086,    0.296462
  16.667231,    0.298321
  16.729337,    0.300181
  16.791521,    0.302045
  16.853902,    0.303918
  16.916218,    0.305792
  16.978579,    0.307670
  17.041098,    0.309555
  17.103618,    0.311442
  17.166373,    0.313339
  17.229173,    0.315240
  17.292014,    0.317144
  17.354772,    0.319048
  17.417879,    0.320965
  17.480932,    0.322883
  17.544131,    0.324808
  17.607450,    0.326738
  17.670939,    0.328676
  17.734490,    0.330619
  17.797970,    0.332561
  17.861371,    0.334503
  17.924916,    0.336452
  17.988668,    0.338409
  18.052596,    0.340374
  18.116486,    0.342340
  18.180529,    0.344312
  18.244675,    0.346290
  18.308912,    0.348273
  18.373012,    0.350253
  18.437370,    0.352244
  18.501788,    0.354238
  18.566283,    0.356237
  18.630786,    0.358238
  18.695282,    0.360241
  18.759920,    0.362250
  18.824800,    0.364269
  18.889688,    0.366289
  18.954630,    0.368313
  19.019543,    0.370339
  19.084698,    0.372373
  19.149841,    0.374409
  19.162902,    0.374817
  19.172900,    0.375130
  19.180257,    0.375360
  19.181423,    0.375396
  19.181778,    0.375408
  19.182388,    0.375427
  19.182592,    0.375433
  19.182627,    0.375434
  19.182664,    0.375435
  19.183030,    0.375447
  19.186252,    0.375548
  19.204628,    0.376122
  19.260788,    0.377880
  19.326063,    0.379925
  19.391247,    0.381968
  19.456328,    0.384010
  19.521615,    0.386060
  19.587058,    0.388116
  19.652481,    0.390174
  19.718105,    0.392239
  19.783721,    0.394306
  19.849488,    0.396378
  19.915331,    0.398455
  19.981202,    0.400534
  20.047129,    0.402616
  20.113097,    0.404701
  20.179258,    0.406793
  20.245458,    0.408888
  20.311688,    0.410985
  20.378014,    0.413087
  20.444471,    0.415194
  20.510968,    0.417303
  20.577468,    0.419414
  20.644186,    0.421533
  20.711054,    0.423658
  20.777855,    0.425783
  20.844748,    0.427911
  20.911727,    0.430043
  20.978858,    0.432181
  21.046008,    0.434320
  21.113248,    0.436464
  21.180441,    0.438607
  21.247762,    0.440755
  21.315162,    0.442907
  21.382751,    0.445066
  21.450409,    0.447228
  21.518081,    0.449391
  21.585792,    0.451557
  21.653579,    0.453725
  21.721439,    0.455897
  21.789321,    0.458071
  21.857288,    0.460248
  21.925403,    0.462430
  21.993633,    0.464617
  22.061984,    0.466809
  22.130342,    0.469001
  22.198806,    0.471198
  22.267172,    0.473392
  22.335786,    0.475595
  22.404448,    0.477800
  22.473232,    0.480009
  22.542042,    0.482220
  22.610851,    0.484431
  22.679893,    0.486651
  22.748967,    0.488872
  22.818074,    0.491094
  22.887356,    0.493323
  22.956541,    0.495548
  23.025791,    0.497777
  23.095313,    0.500014
  23.164660,    0.502246
  23.234274,    0.504487
  23.304014,    0.506733
  23.373743,    0.508978
  23.443587,    0.511228
  23.513363,    0.513475
  23.583261,    0.515727
  23.653353,    0.517985
  23.723314,    0.520239
  23.793589,    0.522503
  23.863779,    0.524765
  23.934074,    0.527030
  23.968044,    0.528124
  24.004621,    0.529303
  24.075192,    0.536953
  24.145625,    0.549616
  24.216207,    0.562264
  24.286838,    0.574936
  24.357653,    0.587621
  24.428434,    0.600330
  24.499351,    0.613037
  24.570341,    0.625764
  24.641390,    0.638502
  24.712465,    0.651246
  24.783691,    0.663996
  24.854983,    0.676766
  24.926295,    0.689542
  24.997611,    0.702315
  25.069004,    0.715087
  25.140384,    0.727862
  25.211740,    0.740629
  25.283289,    0.753393
  25.354902,    0.766179
  25.426419,    0.778962
  25.498005,    0.791726
  25.569673,    0.804495
  25.641402,    0.817267
  25.713177,    0.830040
  25.784919,    0.842808
  25.787793,    0.852368
  25.787930,    0.852749
  25.788020,    0.852771
  25.788087,    0.852786
  25.788127,    0.852796
  25.788144,    0.852802
  25.788160,    0.852805
  25.788326,    0.852815
  25.789987,    0.852913
  25.800024,    0.853595
  25.844615,    0.856974
  25.918101,    0.866226
  25.992378,    0.879306
  26.066619,    0.892476
  26.140992,    0.905635
  26.215407,    0.918798
  26.289751,    0.931950
  26.364219,    0.945084
  26.438608,    0.958214
  26.512937,    0.971316
  26.587368,    0.984399
  26.661705,    0.997474
  26.736178,    1.010526
  26.810645,    1.023578
  26.816516,    1.033010
  26.822395,    1.034026
  26.828280,    1.035043
  26.834155,    1.036060
  26.840043,    1.037077
  26.845938,    1.038095
  26.851789,    1.039111
  26.857677,    1.040123
  26.863568,    1.041140
  26.869437,    1.042156
  26.875356,    1.043171
  26.881192,    1.044188
  26.887111,    1.045198
  26.893035,    1.046219
  26.898971,    1.047241
  26.904908,    1.048263
  26.910791,    1.049283
  26.916694,    1.050297
  26.922647,    1.051315
  26.928585,    1.052338
  26.934536,    1.053360
  26.940496,    1.054384
  26.946454,    1.055408
  26.952427,    1.056432
  26.958376,    1.057457
  26.964364,    1.058480
  26.970329,    1.059506
  26.976301,    1.060530
  26.982257,    1.061553
  26.988259,    1.062576
  26.994236,    1.063604
  27.000223,    1.064628
  27.006252,    1.065655
  27.012257,    1.066686
  27.018260,    1.067713
  27.024269,    1.068740
  27.030290,    1.069768
  27.036323,    1.070797
  27.042337,    1.071827
  27.048382,    1.072855
  27.054439,    1.073887
  27.060428,    1.074917
  27.066518,    1.075944
  27.072613,    1.076982
  27.078703,    1.078020
  27.084808,    1.079058
  27.090918,    1.080098
  27.097022,    1.081138
  27.103130,    1.082176
  27.109227,    1.083214
  27.115344,    1.084251
  27.121483,    1.085291
  27.127607,    1.086333
  27.133760,    1.087374
  27.139880,    1.088416
  27.146046,    1.089456
  27.152219,    1.090501
  27.158390,    1.091547
  27.164569,    1.092592
  27.170731,    1.093637
  27.176896,    1.094680
  27.183112,    1.095725
  27.189272,    1.096772
  27.195487,    1.097816
  27.201718,    1.098866
  27.207962,    1.099918
  27.214209,    1.100971
  27.220412,    1.102022
  27.226673,    1.103070
  27.232902,    1.104123
  27.239126,    1.105172
  27.245417,    1.106222
  27.251695,    1.107279
  27.258024,    1.108337
  27.264324,    1.109399
  27.270653,    1.110458
  27.276937,    1.111518
  27.283294,    1.112575
  27.289634,    1.113640
  27.295942,    1.114700
  27.302283,    1.115758
  27.308669,    1.116822
  27.315041,    1.117889
  27.321463,    1.118957
  27.327840,    1.120027
  27.334284,    1.121095
  27.340714,    1.122170
  27.347143,    1.123242
  27.353604,    1.124316
  27.360048,    1.125391
  27.366505,    1.126464
  27.372943,    1.127538
  27.379402,    1.128609
  27.385858,    1.129683
  27.392390,    1.130006
  27.398890,    1.130327
  27.405415,    1.130649
  27.411927,    1.130970
  27.418477,    1.131292
  27.425000,    1.131613
  27.431541,    1.131934
  27.438112,    1.132256
  27.444697,    1.132578
  27.451305,    1.132902
  27.457894,    1.133223
  27.464466,    1.133544
  27.471056,    1.133865
  27.477650,    1.134186
  27.484242,    1.134506
  27.490903,    1.134829
  27.497572,    1.135152
  27.504242,    1.135475
  27.510912,    1.135798
  27.517581,    1.136119
  27.524266,    1.136442
  27.530963,    1.136764
  27.537667,    1.137086
  27.544410,    1.137410
  27.551138,    1.137732
  27.557905,    1.138056
  27.564634,    1.138378
  27.571383,    1.138700
  27.578145,    1.139022
  27.584932,    1.139345
  27.591681,    1.139666
  27.598455,    1.139988
  27.605246,    1.140310
  27.612059,    1.140632
  27.618853,    1.140953
  27.625693,    1.141276
  27.632538,    1.141599
  27.639364,    1.141920
  27.646227,    1.142242
  27.653122,    1.142566
  27.659978,    1.142887
  27.666843,    1.143208
  27.673797,    1.143533
  27.680744,    1.143857
  27.687729,    1.144182
  27.694712,    1.144507
  27.701707,    1.144832
  27.708703,    1.145156
  27.715665,    1.145478
  27.722702,    1.145804
  27.729750,    1.146129
  27.736786,    1.146453
  27.743870,    1.146779
  27.750966,    1.147105
  27.758007,    1.147428
  27.765088,    1.147752
