eta, M
   0.000000, 51062.424963
   0.020408, 48667.423968
   0.040816, 46487.808731
   0.061224, 44309.632156
   0.081633, 42122.231558
   0.102041, 39920.916833
   0.122449, 37703.928970
   0.142857, 35471.174125
   0.163265, 33223.575845
   0.183673, 30962.707701
   0.204082, 28690.572368
   0.224490, 26409.464280
   0.244898, 24121.883019
   0.265306, 21830.479000
   0.285714, 19538.020580
   0.306122, 17247.375888
   0.326531, 14961.505209
   0.346939, 12683.461251
   0.367347, 10416.395641
   0.387755, 8163.570615
   0.408163, 5928.375366
   0.428571, 3714.346826
   0.448980, 1525.194942
   0.469388, -635.167278
   0.489796, -2762.588428
   0.510204, -4852.601751
   0.530612, -6900.389644
   0.551020, -8900.809306
   0.571429, -10848.243911
   0.591837, -12736.542066
   0.612245, -14558.923837
   0.632653, -16307.868639
   0.653061, -17974.980560
   0.673469, -19550.825251
   0.693878, -21024.730447
   0.714286, -22384.539136
   0.734694, -23616.299621
   0.755102, -24703.869063
   0.775510, -25628.394172
   0.795918, -26367.610236
   0.816327, -26894.859118
   0.836735, -27177.651337
   0.857143, -27175.450390
   0.877551, -26836.054037
   0.897959, -26089.263683
   0.918367, -24834.800179
   0.938776, -22916.268646
   0.959184, -20053.638910
   0.979592, -15599.669438
   1.000000,    0.000000
