eta, M
   0.000000, 10212.484993
   0.020408, 9733.484794
   0.040816, 9297.561746
   0.061224, 8861.926431
   0.081633, 8424.446312
   0.102041, 7984.183367
   0.122449, 7540.785794
   0.142857, 7094.234825
   0.163265, 6644.715169
   0.183673, 6192.541540
   0.204082, 5738.114474
   0.224490, 5281.892856
   0.244898, 4824.376604
   0.265306, 4366.095800
   0.285714, 3907.604116
   0.306122, 3449.475178
   0.326531, 2992.301042
   0.346939, 2536.692250
   0.367347, 2083.279128
   0.387755, 1632.714123
   0.408163, 1185.675073
   0.428571,  742.869365
   0.448980,  305.038988
   0.469388, -127.033456
   0.489796, -552.517686
   0.510204, -970.520350
   0.530612, -1380.077929
   0.551020, -1780.161861
   0.571429, -2169.648782
   0.591837, -2547.308413
   0.612245, -2911.784767
   0.632653, -3261.573728
   0.653061, -3594.996112
   0.673469, -3910.165050
   0.693878, -4204.946089
   0.714286, -4476.907827
   0.734694, -4723.259924
   0.755102, -4940.773813
   0.775510, -5125.678834
   0.795918, -5273.522047
   0.816327, -5378.971824
   0.836735, -5435.530267
   0.857143, -5435.090078
   0.877551, -5367.210807
   0.897959, -5217.852737
   0.918367, -4966.960036
   0.938776, -4583.253729
   0.959184, -4010.727782
   0.979592, -3119.933888
   1.000000,    0.000000
