eta, Ccl add.
   0.000000,    4.758979
   0.020408,    4.715923
   0.040816,    4.703627
   0.061224,    4.685522
   0.081633,    4.662508
   0.102041,    4.635203
   0.122449,    4.604081
   0.142857,    4.569531
   0.163265,    4.531886
   0.183673,    4.491445
   0.204082,    4.448486
   0.224490,    4.403287
   0.244898,    4.356139
   0.265306,    4.307385
   0.285714,    4.256062
   0.306122,    4.204116
   0.326531,    4.157258
   0.346939,    4.106860
   0.367347,    4.055645
   0.387755,    4.003445
   0.408163,    3.950161
   0.428571,    3.895731
   0.448980,    3.840108
   0.469388,    3.783252
   0.489796,    3.725125
   0.510204,    3.665676
   0.530612,    3.604853
   0.551020,    3.542611
   0.571429,    3.478880
   0.591837,    3.413576
   0.612245,    3.346594
   0.632653,    3.277809
   0.653061,    3.207063
   0.673469,    3.134163
   0.693878,    3.058870
   0.714286,    2.980884
   0.734694,    2.899834
   0.755102,    2.815244
   0.775510,    2.726509
   0.795918,    2.632845
   0.816327,    2.533220
   0.836735,    2.426252
   0.857143,    2.310043
   0.877551,    2.181919
   0.897959,    2.037961
   0.918367,    1.872133
   0.938776,    1.674433
   0.959184,    1.426182
   0.979592,    1.083279
   1.000000,    0.000000
