eta, Ccl add.
   0.000000,    0.275256
   0.020408,    0.272765
   0.040816,    0.272054
   0.061224,    0.271007
   0.081633,    0.269676
   0.102041,    0.268097
   0.122449,    0.266297
   0.142857,    0.264298
   0.163265,    0.262121
   0.183673,    0.259782
   0.204082,    0.257297
   0.224490,    0.254683
   0.244898,    0.251956
   0.265306,    0.249136
   0.285714,    0.246167
   0.306122,    0.243163
   0.326531,    0.240453
   0.346939,    0.237538
   0.367347,    0.234575
   0.387755,    0.231556
   0.408163,    0.228474
   0.428571,    0.225326
   0.448980,    0.222109
   0.469388,    0.218820
   0.489796,    0.215458
   0.510204,    0.212020
   0.530612,    0.208502
   0.551020,    0.204902
   0.571429,    0.201216
   0.591837,    0.197439
   0.612245,    0.193565
   0.632653,    0.189586
   0.653061,    0.185494
   0.673469,    0.181278
   0.693878,    0.176923
   0.714286,    0.172412
   0.734694,    0.167724
   0.755102,    0.162832
   0.775510,    0.157699
   0.795918,    0.152282
   0.816327,    0.146520
   0.836735,    0.140333
   0.857143,    0.133611
   0.877551,    0.126201
   0.897959,    0.117874
   0.918367,    0.108283
   0.938776,    0.096848
   0.959184,    0.082489
   0.979592,    0.062656
   1.000000,    0.000000
