alpha body, Static Stability Margin
 -10.000000,    0.445687
  -9.090909,    0.437350
  -8.181818,    0.421263
  -7.272727,    0.405532
  -6.363636,    0.389422
  -5.454545,    0.373354
  -4.545455,    0.358174
  -3.636364,    0.346026
  -2.727273,    0.339048
  -1.818182,    0.323616
  -0.909091,    0.306433
  -0.000000,    0.298592
   0.909091,    0.290589
   1.818182,    0.283000
   2.727273,    0.276165
   3.636364,    0.269494
   4.545455,    0.262915
   5.454545,    0.257096
   6.363636,    0.251844
   7.272727,    0.246605
   8.181818,    0.241700
   9.090909,    0.237618
  10.000000,    0.233594
  10.909091,    0.221463
  11.818182,    0.162660
  12.727273,   -0.028534
  13.636364,   -0.841672
  14.545455,   -9.210042
  15.454545,   -9.539818
  16.363636,   -1.230925
  17.272727,   -0.085814
  18.181818,    0.118196
