alpha body, Static Stability Margin
 -10.000000,    0.092684
  -9.000000,    0.082428
  -8.000000,    0.062079
  -7.000000,    0.042075
  -6.000000,    0.022818
  -5.000000,    0.004361
  -4.000000,   -0.010444
  -3.000000,   -0.021457
  -2.000000,   -0.040513
  -1.000000,   -0.059142
   0.000000,   -0.068243
   1.000000,   -0.076901
   2.000000,   -0.085636
   3.000000,   -0.093941
   4.000000,   -0.101662
   5.000000,   -0.108388
   6.000000,   -0.114536
   7.000000,   -0.120586
   8.000000,   -0.126325
   9.000000,   -0.131519
  10.000000,   -0.136303
  11.000000,   -0.157399
  12.000000,   -0.246179
  13.000000,   -0.627574
  14.000000,   -3.344407
  15.000000,   -6.602040
  16.000000,   -4.291348
