alpha body, Static Stability Margin
 -10.000000,    0.314700
  -9.000000,    0.305173
  -8.000000,    0.286225
  -7.000000,    0.267517
  -6.000000,    0.249420
  -5.000000,    0.232003
  -4.000000,    0.217956
  -3.000000,    0.207399
  -2.000000,    0.189360
  -1.000000,    0.171712
   0.000000,    0.162895
   1.000000,    0.154486
   2.000000,    0.146003
   3.000000,    0.137917
   4.000000,    0.130381
   5.000000,    0.123799
   6.000000,    0.117780
   7.000000,    0.111858
   8.000000,    0.106240
   9.000000,    0.101154
  10.000000,    0.096519
  11.000000,    0.077433
  12.000000,   -0.001530
  13.000000,   -0.340419
  14.000000,   -2.697965
  15.000000,   -5.544393
  16.000000,   -3.562991
  17.000000,   -0.439287
  18.000000,   -0.062580
