alpha body, Static Stability Margin
 -10.000000,    0.100552
  -9.090909,    0.091106
  -8.181818,    0.072934
  -7.272727,    0.055211
  -6.363636,    0.037057
  -5.454545,    0.019121
  -4.545455,    0.002315
  -3.636364,   -0.011038
  -2.727273,   -0.018470
  -1.818182,   -0.035509
  -0.909091,   -0.054570
  -0.000000,   -0.063003
   0.909091,   -0.071631
   1.818182,   -0.079853
   2.727273,   -0.087139
   3.636364,   -0.094159
   4.545455,   -0.101156
   5.454545,   -0.107451
   6.363636,   -0.113027
   7.272727,   -0.118472
   8.181818,   -0.123746
   9.090909,   -0.128267
  10.000000,   -0.132477
  10.909091,   -0.144408
  11.818182,   -0.198219
  12.727273,   -0.354011
  13.636364,   -0.827471
  14.545455,   -3.448432
  15.454545,   -6.695260
