alpha body, Static Stability Margin
 -10.000000,    0.036624
  -9.000000,    0.027156
  -8.000000,    0.008368
  -7.000000,   -0.010095
  -6.000000,   -0.027882
  -5.000000,   -0.044938
  -4.000000,   -0.058259
  -3.000000,   -0.067699
  -2.000000,   -0.085291
  -1.000000,   -0.102488
   0.000000,   -0.110122
   1.000000,   -0.117323
   2.000000,   -0.124546
   3.000000,   -0.131328
   4.000000,   -0.137549
   5.000000,   -0.142860
   6.000000,   -0.147622
   7.000000,   -0.152230
   8.000000,   -0.156513
   9.000000,   -0.160272
  10.000000,   -0.163683
  11.000000,   -0.183504
  12.000000,   -0.271231
  13.000000,   -0.653645
  14.000000,   -3.409606
  15.000000,   -6.740395
