alpha body, Static Stability Margin
 -10.000000,    0.315115
  -9.000000,    0.305589
  -8.000000,    0.286643
  -7.000000,    0.267938
  -6.000000,    0.249843
  -5.000000,    0.232428
  -4.000000,    0.218383
  -3.000000,    0.207827
  -2.000000,    0.189790
  -1.000000,    0.172144
   0.000000,    0.163327
   1.000000,    0.154920
   2.000000,    0.146437
   3.000000,    0.138352
   4.000000,    0.130816
   5.000000,    0.124234
   6.000000,    0.118215
   7.000000,    0.112294
   8.000000,    0.106676
   9.000000,    0.101591
  10.000000,    0.096956
  11.000000,    0.077874
  12.000000,   -0.001070
  13.000000,   -0.339879
  14.000000,   -2.696758
  15.000000,   -5.542426
  16.000000,   -3.561633
  17.000000,   -0.438774
  18.000000,   -0.062144
