eta, D
   0.000000,  226.795680
   0.020408,  226.795680
   0.040816,  226.795680
   0.061224,  226.795680
   0.081633,  226.795680
   0.102041,  226.795680
   0.122449,  226.795680
   0.142857,  226.795680
   0.163265,  226.795680
   0.183673,  226.795680
   0.204082,  226.795680
   0.224490,  226.795680
   0.244898,  226.795680
   0.265306,  226.795680
   0.285714,  226.795680
   0.306122,  226.795680
   0.326531,  226.795680
   0.346939,  226.795680
   0.367347,  226.795680
   0.387755,  226.795680
   0.408163,  226.795680
   0.428571,  226.795680
   0.448980,  226.795680
   0.469388,  226.795680
   0.489796,  226.795680
   0.510204,  226.795680
   0.530612,  226.795680
   0.551020,  226.795680
   0.571429,  226.795680
   0.591837,  226.795680
   0.612245,  226.795680
   0.632653,  226.795680
   0.653061,  226.795680
   0.673469,  226.795680
   0.693878,  226.795680
   0.714286,  226.795680
   0.734694,  226.795680
   0.755102,  226.795680
   0.775510,  226.795680
   0.795918,  226.795680
   0.816327,  226.795680
   0.836735,  226.795680
   0.857143,  226.795680
   0.877551,  226.795680
   0.897959,  226.795680
   0.918367,  226.795680
   0.938776,  226.795680
   0.959184,  226.795680
   0.979592,  226.795680
   1.000000,  226.795680
