eta, D
   0.000000,  539.845223
   0.020408,  537.232107
   0.040816,  534.156300
   0.061224,  530.849376
   0.081633,  527.415405
   0.102041,  523.892878
   0.122449,  520.300647
   0.142857,  516.649511
   0.163265,  512.946329
   0.183673,  509.195785
   0.204082,  505.401256
   0.224490,  501.565267
   0.244898,  497.689754
   0.265306,  493.776223
   0.285714,  489.825850
   0.306122,  485.839546
   0.326531,  481.818009
   0.346939,  477.761756
   0.367347,  473.671161
   0.387755,  469.546497
   0.408163,  465.387991
   0.428571,  461.195956
   0.448980,  456.971110
   0.469388,  452.715835
   0.489796,  448.445925
   0.510204,  444.107271
   0.530612,  439.693616
   0.551020,  435.258859
   0.571429,  430.786711
   0.591837,  426.273126
   0.612245,  421.715425
   0.632653,  417.111209
   0.653061,  412.458131
   0.673469,  407.753853
   0.693878,  402.996131
   0.714286,  398.182995
   0.734694,  393.313102
   0.755102,  388.488047
   0.775510,  383.641943
   0.795918,  378.763636
   0.816327,  373.871201
   0.836735,  369.000685
   0.857143,  364.386765
   0.877551,  360.109820
   0.897959,  356.461678
   0.918367,  354.652630
   0.938776,  357.295988
   0.959184,  376.903839
   0.979592,  501.200190
   1.000000,  141.560381
