Time, Mach number
   0.000000,    0.000001
   0.100000,    0.000894
   0.200000,    0.001783
   0.300000,    0.002671
   0.400000,    0.003559
   0.500000,    0.004448
   0.600000,    0.005336
   0.700000,    0.006224
   0.800000,    0.007112
   0.900000,    0.008001
   1.000000,    0.008889
   1.100000,    0.009777
   1.200000,    0.010657
   1.300000,    0.011535
   1.400000,    0.012414
   1.500000,    0.013292
   1.600000,    0.014171
   1.700000,    0.015049
   1.800000,    0.015927
   1.900000,    0.016806
   2.000000,    0.017684
   2.100000,    0.018563
   2.200000,    0.019432
   2.300000,    0.020300
   2.400000,    0.021169
   2.500000,    0.022037
   2.600000,    0.022905
   2.700000,    0.023773
   2.800000,    0.024642
   2.900000,    0.025510
   3.000000,    0.026378
   3.100000,    0.027246
   3.200000,    0.028105
   3.300000,    0.028963
   3.400000,    0.029821
   3.500000,    0.030679
   3.600000,    0.031537
   3.700000,    0.032394
   3.800000,    0.033252
   3.900000,    0.034110
   4.000000,    0.034968
   4.100000,    0.035826
   4.200000,    0.036674
   4.300000,    0.037521
   4.400000,    0.038368
   4.500000,    0.039216
   4.600000,    0.040063
   4.700000,    0.040910
   4.800000,    0.041757
   4.900000,    0.042604
   5.000000,    0.043451
   5.100000,    0.044298
   5.200000,    0.045136
   5.300000,    0.045972
   5.400000,    0.046808
   5.500000,    0.047644
   5.600000,    0.048480
   5.700000,    0.049316
   5.800000,    0.050152
   5.900000,    0.050989
   6.000000,    0.051825
   6.100000,    0.052661
   6.200000,    0.053484
   6.300000,    0.054306
   6.400000,    0.055128
   6.500000,    0.055949
   6.600000,    0.056771
   6.700000,    0.057593
   6.800000,    0.058415
   6.900000,    0.059236
   7.000000,    0.060058
   7.100000,    0.060880
   7.200000,    0.061688
   7.300000,    0.062495
   7.400000,    0.063301
   7.500000,    0.064108
   7.600000,    0.064914
   7.700000,    0.065721
   7.800000,    0.066527
   7.900000,    0.067334
   8.000000,    0.068140
   8.100000,    0.068947
   8.200000,    0.069740
   8.300000,    0.070531
   8.400000,    0.071322
   8.500000,    0.072113
   8.600000,    0.072904
   8.700000,    0.073695
   8.800000,    0.074487
   8.900000,    0.075278
   9.000000,    0.076069
   9.100000,    0.076860
   9.200000,    0.077638
   9.300000,    0.078414
   9.400000,    0.079190
   9.500000,    0.079965
   9.600000,    0.080741
   9.700000,    0.081517
   9.800000,    0.082293
   9.900000,    0.083069
  10.000000,    0.083845
  10.100000,    0.084621
  10.200000,    0.085383
  10.300000,    0.086143
  10.400000,    0.086904
  10.500000,    0.087664
  10.600000,    0.088425
  10.700000,    0.089186
  10.800000,    0.089946
  10.900000,    0.090707
  11.000000,    0.091467
  11.100000,    0.092228
  11.200000,    0.092975
  11.300000,    0.093720
  11.400000,    0.094465
  11.500000,    0.095210
  11.600000,    0.095955
  11.700000,    0.096701
  11.800000,    0.097446
  11.900000,    0.098191
  12.000000,    0.098936
  12.100000,    0.099682
  12.200000,    0.100411
  12.300000,    0.101139
  12.400000,    0.101867
  12.500000,    0.102594
  12.600000,    0.103322
  12.700000,    0.104050
  12.800000,    0.104777
  12.900000,    0.105505
  13.000000,    0.106233
  13.100000,    0.106960
  13.200000,    0.107670
  13.300000,    0.108378
  13.400000,    0.109086
