Ground Distance, Speed
 589.164129,   50.668743
 592.670174,   50.792686
 596.184190,   50.916364
 599.709157,   51.039882
 603.247202,   51.163313
 606.803297,   51.286828
 610.370082,   51.410172
 613.943243,   51.533194
 617.540122,   51.656491
 621.148010,   51.779623
 624.765156,   51.902531
 628.398230,   52.025440
 632.037455,   52.148021
 635.690534,   52.270532
 639.365463,   52.393239
 643.045634,   52.515585
 646.742569,   52.637954
 650.446167,   52.760011
 654.167680,   52.882127
 657.904627,   53.004216
 661.647220,   53.125960
 665.408820,   53.247792
 669.184747,   53.369558
 672.965260,   53.490946
 676.758794,   53.612226
 680.568036,   53.733482
 684.382355,   53.854378
 688.217246,   53.975402
 692.058382,   54.096102
 695.918951,   54.216892
 699.790522,   54.337506
 703.679713,   54.458148
 707.579301,   54.578593
 711.487671,   54.698793
 715.413746,   54.819020
 719.353308,   54.939144
 723.299767,   55.058964
 727.265684,   55.178860
 731.235417,   55.298359
 735.227720,   55.418025
 739.226066,   55.537362
 743.241826,   55.656708
 747.262371,   55.775688
 751.298987,   55.894637
 755.353790,   56.013613
 759.419077,   56.132391
 763.497666,   56.251053
 767.087029,   56.355065
 767.587266,   56.369530
 771.681692,   56.487647
 775.798016,   56.605905
 779.929699,   56.724107
 784.074797,   56.842196
 788.226798,   56.959978
 792.395495,   57.077731
 796.573324,   57.195232
 800.759608,   57.312462
 804.960985,   57.429602
 809.181679,   57.546762
 813.409325,   57.663598
 817.651090,   57.780300
 821.913471,   57.897043
 826.180651,   58.013390
 830.458232,   58.129489
 834.748729,   58.245409
 839.051536,   58.361125
 843.361640,   58.476501
 847.684708,   58.591688
 848.550783,   58.614694
 849.224752,   58.632582
 849.804389,   58.647956
 850.268112,   58.660248
 850.381611,   58.663256
 850.581885,   58.668562
 850.617882,   58.669515
 850.670013,   58.670896
 850.684826,   58.671289
 850.687881,   58.671370
 850.689772,   58.671420
 850.691508,   58.671466
 850.708861,   58.671925
 850.853915,   58.675767
 851.566263,   58.694626
 855.752100,   58.805183
 860.259070,   58.923678
 864.774975,   59.041836
 869.292108,   59.159458
 873.822849,   59.276865
 878.371652,   59.394164
 882.925236,   59.511015
 887.487505,   59.627511
 892.065540,   59.743833
 896.649148,   59.859720
 901.237272,   59.975141
 905.830308,   60.090108
 910.444942,   60.205037
 915.076002,   60.319789
 919.705805,   60.433927
 924.340736,   60.547612
 928.996022,   60.661210
 933.646020,   60.774096
 934.006045,   60.782664
 934.366645,   60.791238
 934.725413,   60.799761
 935.086278,   60.808324
 935.447440,   60.816886
 935.807738,   60.825419
 936.168643,   60.833957
 936.528600,   60.842464
 936.889810,   60.850992
 937.252384,   60.859543
 937.615426,   60.868097
 937.978628,   60.876645
 938.342536,   60.885200
 938.706257,   60.893742
 939.070016,   60.902276
 939.433606,   60.910796
 939.795913,   60.919277
 940.161298,   60.927820
 940.525598,   60.936329
 940.891324,   60.944861
 941.257011,   60.953382
 941.622718,   60.961895
 941.989825,   60.970430
 942.356410,   60.978943
 942.723938,   60.987468
 943.091685,   60.995988
 943.459475,   61.004499
 943.826283,   61.012977
 944.195099,   61.021491
 944.564513,   61.030009
 944.931873,   61.038469
 945.301878,   61.046980
 945.672418,   61.055492
 946.042775,   61.063989
 946.411162,   61.072431
 946.781958,   61.080917
 947.154165,   61.089425
 947.526593,   61.097927
 947.897291,   61.106378
 948.271044,   61.114888
 948.643089,   61.123347
 949.017372,   61.131847
 949.392536,   61.140355
 949.767566,   61.148848
 950.142809,   61.157335
 950.518959,   61.165830
 950.893736,   61.174283
 951.269823,   61.182754
 951.646624,   61.191229
 952.020527,   61.199627
 952.398083,   61.208095
 952.774115,   61.216517
 953.151488,   61.224957
 953.532064,   61.233456
 953.910913,   61.241904
 954.291819,   61.250386
 954.673337,   61.258868
 955.054650,   61.267334
 955.434614,   61.275757
 955.816363,   61.284207
 956.196906,   61.292617
 956.578816,   61.301044
 956.962119,   61.309490
 957.345240,   61.317918
 957.730684,   61.326384
 958.116672,   61.334849
 958.503572,   61.343320
 958.888155,   61.351727
 959.274352,   61.360155
 959.660158,   61.368562
 960.046428,   61.376965
 960.434428,   61.385391
 960.823815,   61.393834
 961.212045,   61.402238
 961.600562,   61.410634
 961.989506,   61.419025
 962.380366,   61.427443
 962.770606,   61.435833
 963.160291,   61.444197
 963.551304,   61.452575
 963.944794,   61.460991
 964.338365,   61.469394
 964.731609,   61.477775
 965.124264,   61.486128
 965.519939,   61.494531
 965.915281,   61.502911
 966.312863,   61.511323
 966.709158,   61.519693
 967.106735,   61.528074
 967.507240,   61.536501
 967.906179,   61.544879
 968.306045,   61.553260
 968.706461,   61.561637
 969.108860,   61.570042
 969.513129,   61.578473
 969.916594,   61.586873
 970.318507,   61.595228
 970.722824,   61.603619
 971.126835,   61.611990
 971.529738,   61.620325
 971.933944,   61.628673
 972.339417,   61.637034
 972.745584,   61.645395
 973.153150,   61.653772
 973.560362,   61.662127
 973.966194,   61.670440
 974.376259,   61.678826
 974.786855,   61.687209
 975.197347,   61.695575
 975.607108,   61.703913
 976.017074,   61.712241
 976.428691,   61.720588
 976.840557,   61.728926
 977.255290,   61.737307
 977.670218,   61.745679
 978.083242,   61.753997
 978.496587,   61.762308
 978.914374,   61.770693
 979.330479,   61.779030
 979.747835,   61.787377
 980.166399,   61.795734
 980.586920,   61.804115
 981.004037,   61.812414
 981.424352,   61.820761
 981.842694,   61.829054
 982.264213,   61.837396
 982.686132,   61.845730
 983.108620,   61.854061
 983.531787,   61.862389
 983.956549,   61.870734
 984.382193,   61.879081
 984.807240,   61.887401
 985.234127,   61.895742
 985.661284,   61.904072
 986.090582,   61.912429
 986.519436,   61.920761
 986.947833,   61.929069
 987.377169,   61.937379
 987.806277,   61.945669
 988.234156,   61.953920
 988.665683,   61.962226
 989.097830,   61.970528
 989.532052,   61.978853
 989.966426,   61.987165
 990.398589,   61.995419
 990.834975,   62.003738
 991.268605,   62.011988
 991.701812,   62.020213
 992.140981,   62.028536
 992.579127,   62.036823
 993.016004,   62.045069
 993.457176,   62.053380
 993.897735,   62.061663
 994.338395,   62.069931
 994.782283,   62.078242
 995.225989,   62.086534
 995.671048,   62.094834
 996.114341,   62.103083
 996.558871,   62.111339
 997.008255,   62.119668
 997.456680,   62.127962
 997.905170,   62.136240
 998.355434,   62.144533
 998.803521,   62.152768
 999.252845,   62.161009
 999.642029,   62.168133
 999.703262,   62.169252
1000.154540,   62.177494
1000.608669,   62.185770
1001.065584,   62.194079
1001.521849,   62.202358
1001.976645,   62.210592
1002.434438,   62.218863
1002.890468,   62.227083
1003.352054,   62.235386
1003.812534,   62.243650
1004.275348,   62.251938
1004.738079,   62.260205
1005.201854,   62.268473
1005.666848,   62.276743
1006.132460,   62.285006
1006.600935,   62.293300
1007.069404,   62.301576
1007.541096,   62.309889
1008.008449,   62.318106
1008.478796,   62.326357
1008.949398,   62.334593
1009.420798,   62.342823
1009.891908,   62.351030
1010.364823,   62.359248
