Ground Roll Distance, Horizontal Forces
1112.412899, -1206.583569
1138.585653, -1201.494619
1319.269083, -1166.497603
1355.005927, -1159.603150
1390.611043, -1152.743029
1426.085087, -1145.916969
1461.428708, -1139.124697
1468.481839, -1137.770274
1468.651553, -1137.737688
1468.774173, -1137.714144
1468.834595, -1137.702543
1468.873008, -1137.695167
1468.886392, -1137.692598
1468.894192, -1137.691100
1468.895757, -1137.690340
1468.897182, -1137.689610
1468.911433, -1137.682314
1469.053934, -1137.609340
1470.478637, -1136.879084
1484.694425, -1129.524696
1587.919327, -1072.141781
1612.370109, -1057.751075
1639.761874, -1043.185772
1756.308037, -974.788025
1865.708425, -899.085708
1963.723437, -818.839827
2050.659091, -734.569504
2127.168195, -646.648424
2193.982165, -555.404975
2251.842216, -461.121583
2265.695530, -435.788522
2267.994152, -431.463536
2270.707944, -426.311337
2296.955318, -373.707458
2313.064287, -338.599345
2324.355795, -312.488591
2328.164341, -305.010581
2331.558531, -300.767988
2363.392366, -257.111075
2372.092138, -243.713161
2379.262037, -232.080380
2383.215383, -225.412178
2385.467024, -221.527123
2386.595630, -219.554976
2387.709845, -217.591504
2398.446090, -197.760508
2426.054555, -136.359600
2447.031459,  -70.535817
2451.588320,  -51.384724
2455.168299,  -33.888635
2464.385068,   39.173128
2465.299551,   57.351332
2465.585593,   67.851885
2465.692242,   77.133475
2465.697158,   78.958075
2465.697629,   79.569007
2465.697655,   79.751962
