eta, D
   0.000000,  161.820360
   0.020408,  161.820360
   0.040816,  161.820360
   0.061224,  161.820360
   0.081633,  161.820360
   0.102041,  161.820360
   0.122449,  161.820360
   0.142857,  161.820360
   0.163265,  161.820360
   0.183673,  161.820360
   0.204082,  161.820360
   0.224490,  161.820360
   0.244898,  161.820360
   0.265306,  161.820360
   0.285714,  161.820360
   0.306122,  161.820360
   0.326531,  161.820360
   0.346939,  161.820360
   0.367347,  161.820360
   0.387755,  161.820360
   0.408163,  161.820360
   0.428571,  161.820360
   0.448980,  161.820360
   0.469388,  161.820360
   0.489796,  161.820360
   0.510204,  161.820360
   0.530612,  161.820360
   0.551020,  161.820360
   0.571429,  161.820360
   0.591837,  161.820360
   0.612245,  161.820360
   0.632653,  161.820360
   0.653061,  161.820360
   0.673469,  161.820360
   0.693878,  161.820360
   0.714286,  161.820360
   0.734694,  161.820360
   0.755102,  161.820360
   0.775510,  161.820360
   0.795918,  161.820360
   0.816327,  161.820360
   0.836735,  161.820360
   0.857143,  161.820360
   0.877551,  161.820360
   0.897959,  161.820360
   0.918367,  161.820360
   0.938776,  161.820360
   0.959184,  161.820360
   0.979592,  161.820360
   1.000000,  161.820360
