alpha_h, CL
  -6.622119,   -0.183236
  -6.468177,   -0.174975
  -6.327496,   -0.167425
  -6.195142,   -0.160322
  -6.063299,   -0.153247
  -5.931738,   -0.146187
  -5.800710,   -0.139155
  -5.669939,   -0.132137
  -5.539723,   -0.125149
  -5.409739,   -0.118174
  -5.280330,   -0.111229
  -5.151128,   -0.104295
  -5.022523,   -0.097394
  -4.894099,   -0.090502
  -4.766291,   -0.083643
  -4.638641,   -0.076793
  -4.511626,   -0.069977
  -4.384744,   -0.063167
  -4.258514,   -0.056393
  -4.132394,   -0.049625
  -4.006944,   -0.042893
  -3.881579,   -0.036165
  -3.756902,   -0.029474
  -3.632286,   -0.022787
  -3.508373,   -0.016137
  -3.384498,   -0.009489
  -3.261341,   -0.002880
  -3.138206,    0.003728
  -3.015791,    0.010297
  -2.893403,    0.016865
  -2.771704,    0.023396
  -2.650054,    0.029925
  -2.529063,    0.036417
  -2.408140,    0.042907
  -2.287847,    0.049362
  -2.167642,    0.055813
  -2.048036,    0.062232
  -1.928538,    0.068645
  -1.809609,    0.075027
  -1.677418,    0.082121
