alpha_h, CL
  -6.622119,   -0.878412
  -6.468177,   -0.870151
  -6.327496,   -0.862601
  -6.195142,   -0.855498
  -6.063299,   -0.848423
  -5.931738,   -0.841363
  -5.800710,   -0.834331
  -5.669939,   -0.827314
  -5.539723,   -0.820325
  -5.409739,   -0.813350
  -5.280330,   -0.806405
  -5.151128,   -0.799472
  -5.022523,   -0.792570
  -4.894099,   -0.785678
  -4.766291,   -0.778819
  -4.638641,   -0.771969
  -4.511626,   -0.765153
  -4.384744,   -0.758344
  -4.258514,   -0.751570
  -4.132394,   -0.744801
  -4.006944,   -0.738069
  -3.881579,   -0.731341
  -3.756902,   -0.724651
  -3.632286,   -0.717963
  -3.508373,   -0.711313
  -3.384498,   -0.704666
  -3.261341,   -0.698056
  -3.138206,   -0.691448
  -3.015791,   -0.684879
  -2.893403,   -0.678311
  -2.771704,   -0.671780
  -2.650054,   -0.665252
  -2.529063,   -0.658759
  -2.408140,   -0.652269
  -2.287847,   -0.645814
  -2.167642,   -0.639363
  -2.048036,   -0.632944
  -1.928538,   -0.626532
  -1.809609,   -0.620149
  -1.677418,   -0.613055
