Time, Aircraft mass
   0.000000, 58152.626450
   0.469743, 58109.001919
  36.822294, 56575.760010
 187.636510, 51850.225848
 208.636510, 51793.543845
 213.225181, 51516.844791
 226.228318, 50844.849793
 235.228318, 50824.778633
 265.228318, 50698.767254
 266.194985, 50698.786508
 266.548760, 50698.786508
