eta, cCl
   0.000000,    0.567816
   0.020408,    0.565588
   0.040816,    0.565278
   0.061224,    0.564751
   0.081633,    0.564004
   0.102041,    0.563035
   0.122449,    0.561842
   0.142857,    0.560423
   0.163265,    0.558777
   0.183673,    0.556903
   0.204082,    0.554800
   0.224490,    0.552465
   0.244898,    0.549897
   0.265306,    0.547094
   0.285714,    0.544054
   0.306122,    0.540772
   0.326531,    0.537245
   0.346939,    0.533470
   0.367347,    0.529440
   0.387755,    0.525150
   0.408163,    0.520594
   0.428571,    0.515764
   0.448980,    0.510650
   0.469388,    0.505242
   0.489796,    0.499530
   0.510204,    0.493496
   0.530612,    0.487124
   0.551020,    0.480400
   0.571429,    0.473305
   0.591837,    0.465815
   0.612245,    0.457906
   0.632653,    0.449546
   0.653061,    0.440701
   0.673469,    0.431332
   0.693878,    0.421392
   0.714286,    0.410826
   0.734694,    0.399568
   0.755102,    0.387543
   0.775510,    0.374657
   0.795918,    0.360795
   0.816327,    0.345816
   0.836735,    0.329540
   0.857143,    0.311732
   0.877551,    0.292077
   0.897959,    0.270129
   0.918367,    0.245227
   0.938776,    0.216287
   0.959184,    0.181286
   0.979592,    0.135334
   1.000000,    0.000000
