eta, cCl
   0.000000,    2.839080
   0.020408,    2.827942
   0.040816,    2.826390
   0.061224,    2.823756
   0.081633,    2.820021
   0.102041,    2.815175
   0.122449,    2.809208
   0.142857,    2.802114
   0.163265,    2.793885
   0.183673,    2.784516
   0.204082,    2.773999
   0.224490,    2.762326
   0.244898,    2.749487
   0.265306,    2.735472
   0.285714,    2.720268
   0.306122,    2.703859
   0.326531,    2.686226
   0.346939,    2.667348
   0.367347,    2.647199
   0.387755,    2.625752
   0.408163,    2.602971
   0.428571,    2.578818
   0.448980,    2.553248
   0.469388,    2.526211
   0.489796,    2.497649
   0.510204,    2.467478
   0.530612,    2.435618
   0.551020,    2.401999
   0.571429,    2.366523
   0.591837,    2.329076
   0.612245,    2.289528
   0.632653,    2.247729
   0.653061,    2.203507
   0.673469,    2.156662
   0.693878,    2.106960
   0.714286,    2.054128
   0.734694,    1.997842
   0.755102,    1.937716
   0.775510,    1.873284
   0.795918,    1.803975
   0.816327,    1.729081
   0.836735,    1.647700
   0.857143,    1.558660
   0.877551,    1.460383
   0.897959,    1.350646
   0.918367,    1.226133
   0.938776,    1.081434
   0.959184,    0.906432
   0.979592,    0.676672
   1.000000,    0.000000
