alpha, CL
   0.000000,    0.048610
   1.578947,    0.105898
   3.157895,    0.163187
   4.736842,    0.220476
   6.315789,    0.277764
   7.894737,    0.335053
   9.473684,    0.392342
  11.052632,    0.449630
  12.631579,    0.506893
  14.210526,    0.563999
  15.789474,    0.620765
  17.368421,    0.676969
  18.947368,    0.732358
  20.526316,    0.786642
  22.105263,    0.839496
  23.684211,    0.890560
  25.263158,    0.939438
  26.842105,    0.985701
  28.421053,    1.028882
  30.000000,    1.068483
