alpha, CL
   0.000000,    0.194439
   1.578947,    0.251728
   3.157895,    0.309017
   4.736842,    0.366305
   6.315789,    0.423594
   7.894737,    0.480883
   9.473684,    0.538171
  11.052632,    0.595460
  12.631579,    0.652723
  14.210526,    0.709829
  15.789474,    0.766594
  17.368421,    0.822799
  18.947368,    0.878188
  20.526316,    0.932472
  22.105263,    0.985326
  23.684211,    1.036389
  25.263158,    1.085268
  26.842105,    1.131530
  28.421053,    1.174712
  30.000000,    1.214312
