alpha body, CLh_e
  -4.000000,   -0.237429
  -3.517241,   -0.234062
  -3.034483,   -0.230524
  -2.551724,   -0.226813
  -2.068966,   -0.222932
  -1.586207,   -0.218876
  -1.103448,   -0.214648
  -0.620690,   -0.210243
  -0.137931,   -0.205663
   0.344828,   -0.200548
   0.827586,   -0.195637
   1.310345,   -0.190548
   1.793103,   -0.185279
   2.275862,   -0.179830
   2.758621,   -0.174196
   3.241379,   -0.168377
   3.724138,   -0.162373
   4.206897,   -0.156181
   4.689655,   -0.149800
   5.172414,   -0.143228
   5.655172,   -0.136465
   6.137931,   -0.129509
   6.620690,   -0.122361
   7.103448,   -0.115016
   7.586207,   -0.107476
   8.068966,   -0.099165
